id,country_id,start_date,name,caretaker,wikipedia,data_source,description,comment,previous_cabinet_id,previous_parliament_election_id,previous_ep_election_id,old_countryID,old_cabID
1,33,1968-01-10,Gorton I,0,http://en.wikipedia.org/wiki/First_Gorton_Ministry,hug-77,Cabinet ended on 28 February 1968 with the resignation of PM Gorton.,,634,764,,36,19680
2,55,1998-04-08,Krasts II,0,http://en.wikipedia.org/wiki/Guntars_Krasts,mue-rom,,,878,534,,428,19980
3,72,1987-05-12,Fenech Adami I,0,,,,,122,370,,470,19870
4,75,1994-11-03,Tarand,0,http://en.wikipedia.org/wiki/Andres_Tarand,mue-rom,,,564,670,,233,19940
5,63,1999-10-25,Guterres II,0,,,,,265,352,619,620,19990
6,8,1982-05-29,Van Agt III,1,http://en.wikipedia.org/wiki/Netherlands_cabinet_Van_Agt-3,,,,258,81,23,528,19820
7,44,1974-10-10,Wilson IV,0,http://en.wikipedia.org/wiki/Labour_Government_1974-1979,,"Wilson announced his resignation on 16 March 1976 as Prime Minister, taking effect on 5 April.",,419,40,,826,19741
8,5,1964-11-09,Sato I,0,,,,,649,640,,392,19640
9,60,1992-04-22,Drnovsek I,0,http://en.wikipedia.org/wiki/Janez_Drnovsek,"afp, reuters","PM Drnovšek won a confidence vote (yes: 126) on 22 April 1992 and presented his cabinet on 4 May.
Cabinet ended with elections on 6 December 1992.",,527,129,,705,19920
10,21,1945-05-05,Buhl II,1,http://en.wikipedia.org/wiki/Cabinet_of_Vilhelm_Buhl_II,,,,,,,208,19450
11,21,1990-12-18,Schluter V,0,http://da.wikipedia.org/wiki/Regeringen_Poul_Schl%C3%BCter_IV,mueller,,,57,157,308,208,19900
12,7,2004-07-31,Juncker III,0,http://en.wikipedia.org/wiki/Jean-Claude_Juncker,,,,196,383,593,442,20040
13,39,1993-12-21,Boross,0,http://en.wikipedia.org/wiki/P%C3%A9ter_Boross,mue-rom,,,369,257,,348,19930
14,9,1971-03-17,Bratteli I,0,http://en.wikipedia.org/wiki/Bratteli%27s_First_Cabinet,"nyt, reg-no","Cabinet resigned on 7 October 1972, effective 18 October, after a referendum on Norwegian membership in the European Communities, put forward by government, failed on 25 September.",,657,580,,578,19710
15,68,2005-04-25,Paroubek,0,http://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Paroubek,afp,"PM Paroubek was appointed on 25 April 2005 and cabinet won an investiture vote (yes: 101, no: 99) on 13 May.
Cabinet ended with election on 3 June 2006 and resigned on 16 August.",,580,487,567,203,20050
