id,type_id,country_id,date,first_round_election_id,early,wikipedia,seats_total,electorate,votes_cast,votes_valid,data_source,description,comment,previous_parliament_election_id,previous_ep_election_id,previous_cabinet_id,old_countryID,old_parlID
1,13,11,1972-11-25,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1972",87,1569937,1410240,1401152,yb-nzl,,The sources are inconsistent in the number of seats. The official yearbook 1974 notifies 53 seats for Labour Party and 34 seats for National Party. The following yearbooks and Nohlen 2001 notifies the stated distribution.,120,,569,554,19720
2,13,64,1999-06-13,,1,,150,7343464,6650015,6214074,ibz,,,332,536,95,56,19990
3,13,9,2005-09-12,,0,,169,3421741,2649520,2638263,seby,,,328,,300,578,20050
4,1,23,2007-01-01,,0,,35,,,,,,"Elections took only place later in 2007. Results reflect the initial composition of Romanian MEPs, based on the party composition of the Camera Deputaţilor.",165,,28,642,1020070
5,1,63,2009-06-07,,0,,22,9704559,3568943,3333195,cne,,possible error in the primary source due to the valid votes,210,140,169,620,1020090
6,13,37,1977-06-16,,0,,148,,,,,,,283,,315,372,19770
8,13,72,1971-06-14,,0,,55,,,,,,,419,,681,470,19710
10,1,64,1984-06-17,,0,,24,6975855,6424168,5721894,ibz,,,501,442,724,56,1019840
11,13,59,1953-02-22,,1,,165,4586870,4395519,4318688,"bmi, yb-aut","Early Election on 22 February 1953.
Parliament was dissolved on 1 March 1953 after the end of the Raab I cabinet.",,67,,560,40,19530
13,1,59,1995-01-01,,0,,21,,,,mep,,"Elections took only place in 1996. Results reflect the initial composition of Austrian MEPs, based on the party composition of the Nationalrat.",66,,294,40,1019950
14,1,63,1994-06-12,,0,,25,8565822,3044001,2949765,"cne, idea",,possible error in the primary source due to the valid votes,90,504,282,620,1019940
15,13,67,1999-03-21,,0,,200,4152430,2710095,2681291,"idea, tila",,,24,652,100,246,19990
16,1,59,1999-06-13,,0,,21,5847660,2888733,2801353,bmi,,,162,22,412,40,1019990
17,13,26,1987-06-14,,1,,630,45692417,40586573,38571508,archivio,,,617,458,737,380,19870
18,1,54,2004-06-13,,0,,99,61682394,26523104,25783678,bwl,,,385,417,529,276,1020040
19,13,64,1946-02-17,,0,,202,2724796,2460609,2365638,ibz,,,,,204,56,19460
20,13,43,1981-06-14,,0,,474,,,,,,,496,677,866,250,19810
21,13,40,1951-10-28,,0,,196,,,,,,,684,,556,756,19510
22,1,59,1996-08-09,,0,,21,5800377,3928538,3794145,"bmi, ejpr",,,162,13,323,40,1019960
23,1,8,1979-06-10,,0,,25,9808176,5698550,5667303,"ep, idea",,,635,,563,528,1019790
24,13,67,1995-03-19,,0,,200,4088358,2803602,2780921,"idea, tila",,,602,193,206,246,19950
25,13,5,1990-02-18,,1,,512,90322908,66215906,65704311,parline,Parliament was dissolved on 18 June 1993 following the fall of the Miyazawa cabinet.,,506,,106,392,19900
27,13,68,1998-06-20,,1,,200,8116836,,,parline,,,301,,76,203,19980
28,1,51,2009-06-06,,0,,6,526060,312479,306325,cy-gov,,,556,397,289,196,1020090
30,13,40,1955-10-30,,0,,196,,,,,,,21,,814,756,19550
32,13,10,1991-10-13,,0,"http://en.wikipedia.org/wiki/Bulgarian_parliamentary_election,_1991",240,6790006,5694842,5540837,essex,,,,,,100,19910
33,13,35,1998-09-21,,0,,349,6603129,5374588,5261122,val,,,412,55,156,752,19980
34,1,37,1994-06-12,,0,,15,2631575,1157296,1137490,idea,,,359,46,748,372,1019940
35,13,56,1946-06-30,,0,,52,,,,,,,780,,435,352,19460
36,13,56,2009-04-25,,1,,63,227896,193934,187183,"hagstofa, parline",,,265,,538,352,20090
37,1,44,1979-06-10,,0,,81,41559460,13132789,13446091,"idea, ukeu",,,243,,273,826,1019790
38,1,27,1986-01-01,,0,,60,,,,,,"Elections took only place in 1987. Results reflect the initial composition of Spanish MEPs, based on the party composition of the Congress of Deputies.",85,,238,724,1019860
39,13,68,1992-06-06,,0,,200,,,,,,,63,,262,203,19920
40,13,44,1974-10-10,,1,,635,40072970,29226810,29189104,,,Previous election led to a hung parliament with a Labour minority government and prime minister Wilson called for an early election.,568,,419,826,19741
41,13,35,1964-09-20,,0,,233,5095850,4273595,4245780,,,,295,,424,752,19640
42,13,27,1977-06-15,,0,"http://en.wikipedia.org/wiki/Spanish_general_election,_1977",350,23583762,18590130,18324333,epp,,,,,,724,19770
43,13,37,1987-02-17,,0,,166,,,,,,,307,344,867,372,19870
44,1,27,1994-06-12,,0,,64,31558724,18664055,18118291,"ejpr, idea",,,252,474,654,724,1019940
45,1,59,2004-06-13,,0,,18,6049129,2566639,2500610,idea,,,365,16,257,40,1020040
46,1,37,1989-06-18,,0,,15,2453451,1675707,1632728,"ep, idea",,,590,344,77,372,1019890
47,13,37,1981-06-11,,0,,166,,,,,,,6,414,442,372,19810
48,13,35,1985-09-15,,0,,349,6249445,5615242,5567022,yb-swe,,,175,,647,752,19850
49,13,23,1996-11-03,,0,"http://en.wikipedia.org/wiki/Romanian_general_election,_1996",343,17218654,13088388,12238746,insse,,,416,,102,642,19960
