id,date,type_id,seats_total,comment,old_parlID
1,1979-06-10,29,410,,1019790
2,1981-01-01,18,434,,1019810
3,1984-06-17,29,434,,1019840
4,1986-01-01,18,518,,1019860
5,1989-06-18,29,518,,1019890
6,1994-06-12,29,518,,1019940
7,1995-01-01,18,626,,1019950
8,1999-06-13,29,626,,1019990
9,2004-06-13,29,732,,1020040
10,2009-06-07,29,736,,1020090
11,1996-10-20,7,626,,1019960
12,1995-10-09,7,628,,1019951
13,1981-10-18,7,434,,1019811
14,1987-09-13,7,518,,1019871
15,1987-07-05,7,518,,1019870
16,2007-01-01,18,785,,1020070
17,2007-05-20,7,785,,1020071
18,2007-11-25,7,785,,1020072
