id,country_id,commission_year,commission_name,person_id,person_id_source,start_date,end_date,incumbent,one_seat,party_id,government_party,president,portfolio,elected,score_position,highest_position,data_source,comment,previous_cabinet_id
1,26,1958,Hallstein I,4616,"Caron, Giuseppe",1959-12-09,1962-01-09,0,0,1633,0,0,internal market,1,0.46,junior minister civilian aviation,doering,,372
2,54,1958,Hallstein I,16293,"Groeben, Hans von der",1958-01-10,1962-01-09,0,0,808,0,0,competition,0,0.2,diplomat,doering,,793
3,43,1958,Hallstein I,12874,"Lemaignen, Robert",1958-01-10,1962-01-09,0,0,947,1,0,overseas countries and territories,0,0.2,vice president of the French employers federation,doering,Lemaignen had been the vice-president of the French employers federation http://www.fep.up.pt/investigacao/seminarios/04.10.15_Maes.pdf; maj_party missing,458
4,26,1958,Hallstein I,14658,"Levi Sandri, Lionello",1961-02-22,1962-01-09,0,0,1475,1,0,social affairs,0,0.2,party elite (no outstanding position),doering,,810
5,26,1958,Hallstein I,366,"Malvestiti, Piero",1958-01-10,1959-10-15,0,0,1633,0,0,internal market,1,0.87,minister industry and trade,doering,,280
6,8,1958,Hallstein I,11499,"Mansholt, Sicco Leendert",1958-01-10,1962-01-09,0,1,742,0,0,agriculture,1,0.74,minister agriculture,doering,,761
7,43,1958,Hallstein I,12005,"Marjolin, Robert",1958-01-10,1962-01-09,0,0,1539,0,0,economic and financial affairs,0,0.2,head of cabinet for minister of foreign affairs,doering,"adviser to socialist minister, socialist candidate in 1962 election",458
8,26,1958,Hallstein I,584,"Petrilli, Giuseppe",1958-01-10,1961-02-08,0,0,1633,0,0,social affairs,0,0.2,president of national schools for social policy,doering,,280
9,64,1958,Hallstein I,801,"Rey, Jean",1958-01-10,1962-01-09,0,1,63,0,0,external affairs,1,1.02,minister economic affairs,doering,,745
10,7,1958,Hallstein I,4128,"Schaus, Lambert",1958-01-10,1962-01-09,0,1,1234,0,0,,1,1.07,minister economy and defense,doering,,500
11,54,1958,Hallstein I,2737,"Hallstein, Walter",1958-01-10,1962-01-09,0,0,808,0,1,president,1,0.84,junior minister foreign affairs,doering,,793
13,54,1962,Hallstein II,16293,"Groeben, Hans von der",1962-01-10,1967-07-05,1,0,808,0,0,competition,0,0.2,diplomat,doering,,62
14,26,1962,Hallstein II,14658,"Levi Sandri, Lionello",1962-01-10,1967-07-05,1,0,1475,1,0,social affairs,0,0.2,party elite (no outstanding position),doering,,810
15,8,1962,Hallstein II,11499,"Mansholt, Sicco Leendert",1962-01-10,1967-07-05,1,1,742,1,0,agriculture,1,0.74,minister agriculture,doering,,694
16,43,1962,Hallstein II,12005,"Marjolin, Robert",1962-01-10,1967-07-05,1,0,1539,1,0,economic and financial affairs,0,0.2,head of cabinet for minister of foreign affairs,doering,"adviser to socialist minister, socialist candidate in 1962 election",692
17,26,1962,Hallstein II,14467,"Paliano, Guido Colonna Di",1964-09-09,1967-07-05,0,0,1552,0,0,industry,0,0.2,ambassador. vice general secretary NATO,doering,Information provided by Fabio Franchino,705
18,64,1962,Hallstein II,801,"Rey, Jean",1962-01-10,1967-07-05,1,1,63,1,0,external affairs,1,1.02,minister economic affairs,doering,,613
19,43,1962,Hallstein II,7051,"Rochereau, Henri",1962-01-10,1967-07-05,0,0,947,0,0,development policy,1,1.24,minister agriculture,doering,Munzinger gives no party information. though he was member of a government. I gave him the party score of the government he was a member of.,692
20,7,1962,Hallstein II,4128,"Schaus, Lambert",1962-01-10,1967-07-05,1,1,1234,0,0,,1,1.07,minister economy and defense,doering,,832
21,54,1962,Hallstein II,2737,"Hallstein, Walter",1962-01-10,1967-07-05,1,0,808,0,1,president,1,0.84,junior minister foreign affairs,doering,,62
12,26,1962,Hallstein II,4616,"Caron, Giuseppe",1962-01-10,1963-05-16,1,0,1633,0,0,internal market,1,0.46,junior minister civilian aviation,doering,,810
22,43,1967,Rey,7144,"Barre, Raymond",1967-07-06,1970-06-30,0,0,947,1,0,economic affairs,0,0.2,professor,doering,,662
23,7,1967,Rey,6040,"Bodson, Victor",1967-07-06,1970-06-30,0,1,701,0,0,Transport policy,1,1.07,minister justice,doering,,491
