id,country_id,family_id,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,data_source,description,comment,cmp,euprofiler,ees,morgan,castles_mair,huber_inglehart,ray,benoit_laver,chess,old_countryID,old_partyID
1,8,16,Un55,Union 55+,Unie 55+,Unie 55+,,http://en.wikipedia.org/wiki/Union_55%2B,,,,,,,,,,,,,528,49
2,68,26,TOP09,Tradition Responsibility Prosperity 09,Tradice Odpovědnost Prosperita 09,Tradice Odpovednost Prosperita 09,,http://en.wikipedia.org/wiki/Tradition_Responsibility_Prosperity_09,,,,,,,,,,,,,203,14
3,8,3,KNP,Catholic National Party,Katholieke Nationale Partij,Katholieke Nationale Partij,,http://en.wikipedia.org/wiki/Katholieke_Nationale_Partij,,,,,,,,,,,,,528,46
4,5,26,PNP,People's New Party,Kokumin Shinto,Kokumin Shintō,国民新党,http://en.wikipedia.org/wiki/People%27s_New_Party,,,,,,,,,,,,,392,38
5,23,26,PC,Conservative Party,Partidul Conservator,Partidul Conservator,,http://en.wikipedia.org/wiki/Conservative_Party_(Romania),,,,,,1642600,,,,,3356,2702,642,14
6,51,40,NO,New Horizons,Neoi Orizontes,Neoi Orizontes,Νέοι Ορίζοντες,http://en.wikipedia.org/wiki/New_Horizons_%28Cyprus%29,,,,,,,,,,,5459,,196,31
11,63,14,APU,United People Alliance,Aliança Povo Unido,Alianca Povo Unido,,http://en.wikipedia.org/wiki/United_People_Alliance,,,,,,,,,,,,,620,10
15,10,12,KSII,Simeon II Coalition,Koalitsiya Simeon II,Koalitsiya Simeon II,,,,,,,,,,,,,,2006,100,52
16,60,3,SLS,Slovenian People's Party,Slovenska ljudska stranka,Slovenska ljudska stranka,,http://en.wikipedia.org/wiki/Slovenian_People%27s_Party,,,SLS merged with SKD to form the SLS + SKD Slovenian People's Party in 2000 but the party was renamed into SLS in 2001.,97521,264,1705521,,,,,4287,2904,705,29
17,9,16,Hf,Resistance Movement,Hjemmefronten,Hjemmefronten,,http://no.wikipedia.org/wiki/Hjemmefronten,,,Included because of being a core member of the Gerhardsen I cabinet providing three ministers.,,,,,,,,,,,
18,74,11,SP,Labour Solidarity,Solidarność Pracy,Solidarnosc Pracy,,http://pl.wikipedia.org/wiki/Solidarno%C5%9B%C4%87_Pracy,,,,92321,,,,,,,,,616,70
