election_id,date,party_id,seats,cabinet_id,cabinet_formation,calculation_date
1,1972-11-25,997,32,569,0,2012-10-15 12:08:53
1,1972-11-25,878,55,569,0,2012-10-15 12:08:53
2,1999-06-13,1029,14,95,0,2012-10-15 12:08:53
2,1999-06-13,1594,9,95,0,2012-10-15 12:08:53
2,1999-06-13,1378,19,95,0,2012-10-15 12:08:53
2,1999-06-13,723,22,95,0,2012-10-15 12:08:53
2,1999-06-13,171,1,95,0,2012-10-15 12:08:53
2,1999-06-13,1192,10,95,0,2012-10-15 12:08:53
2,1999-06-13,168,18,95,0,2012-10-15 12:08:53
2,1999-06-13,161,11,95,0,2012-10-15 12:08:53
2,1999-06-13,290,8,95,0,2012-10-15 12:08:53
2,1999-06-13,993,15,95,0,2012-10-15 12:08:53
2,1999-06-13,1110,23,95,0,2012-10-15 12:08:53
3,2005-09-12,1435,23,300,0,2012-10-15 12:08:53
3,2005-09-12,1538,11,300,0,2012-10-15 12:08:53
3,2005-09-12,647,10,300,0,2012-10-15 12:08:53
3,2005-09-12,104,61,300,0,2012-10-15 12:08:53
3,2005-09-12,702,11,300,0,2012-10-15 12:08:53
3,2005-09-12,81,15,300,0,2012-10-15 12:08:53
3,2005-09-12,351,38,300,0,2012-10-15 12:08:53
6,1977-06-16,318,17,315,0,2012-10-15 12:08:53
6,1977-06-16,1393,43,315,0,2012-10-15 12:08:53
6,1977-06-16,30,4,315,0,2012-10-15 12:08:53
6,1977-06-16,280,84,315,0,2012-10-15 12:08:53
8,1971-06-14,1003,28,681,0,2012-10-15 12:08:53
8,1971-06-14,984,27,681,0,2012-10-15 12:08:53
11,1953-02-22,1764,4,560,0,2012-10-15 12:08:53
11,1953-02-22,973,73,560,0,2012-10-15 12:08:53
11,1953-02-22,1013,74,560,0,2012-10-15 12:08:53
11,1953-02-22,1818,12,560,0,2012-10-15 12:08:53
11,1953-02-22,1819,2,560,0,2012-10-15 12:08:53
15,1999-03-21,94,48,100,0,2012-10-15 12:08:53
15,1999-03-21,585,11,100,0,2012-10-15 12:08:53
15,1999-03-21,200,1,100,0,2012-10-15 12:08:53
15,1999-03-21,1062,11,100,0,2012-10-15 12:08:53
15,1999-03-21,1118,46,100,0,2012-10-15 12:08:53
15,1999-03-21,395,51,100,0,2012-10-15 12:08:53
15,1999-03-21,66,1,100,0,2012-10-15 12:08:53
15,1999-03-21,1427,20,100,0,2012-10-15 12:08:53
15,1999-03-21,1463,10,100,0,2012-10-15 12:08:53
15,1999-03-21,638,1,100,0,2012-10-15 12:08:53
17,1987-06-14,242,17,737,0,2012-10-15 12:08:53
17,1987-06-14,1560,1,737,0,2012-10-15 12:08:53
17,1987-06-14,974,1,737,0,2012-10-15 12:08:53
17,1987-06-14,487,11,737,0,2012-10-15 12:08:53
17,1987-06-14,831,35,737,0,2012-10-15 12:08:53
17,1987-06-14,1088,177,737,0,2012-10-15 12:08:53
17,1987-06-14,1296,13,737,0,2012-10-15 12:08:53
17,1987-06-14,1633,234,737,0,2012-10-15 12:08:53
17,1987-06-14,93,21,737,0,2012-10-15 12:08:53
17,1987-06-14,1424,8,737,0,2012-10-15 12:08:53
17,1987-06-14,1304,13,737,0,2012-10-15 12:08:53
17,1987-06-14,1475,94,737,0,2012-10-15 12:08:53
17,1987-06-14,1030,3,737,0,2012-10-15 12:08:53
17,1987-06-14,335,2,737,0,2012-10-15 12:08:53
19,1946-02-17,1335,4,204,0,2012-10-15 12:08:53
19,1946-02-17,1181,1,204,0,2012-10-15 12:08:53
19,1946-02-17,63,16,204,0,2012-10-15 12:08:53
19,1946-02-17,708,23,204,0,2012-10-15 12:08:53
19,1946-02-17,167,66,204,0,2012-10-15 12:08:53
19,1946-02-17,1051,92,204,0,2012-10-15 12:08:53
20,1981-06-14,138,80,866,0,2012-10-15 12:08:53
20,1981-06-14,1539,268,866,0,2012-10-15 12:08:53
20,1981-06-14,509,59,866,0,2012-10-15 12:08:53
20,1981-06-14,686,43,866,0,2012-10-15 12:08:53
20,1981-06-14,1297,10,866,0,2012-10-15 12:08:53
20,1981-06-14,1492,14,866,0,2012-10-15 12:08:53
21,1951-10-28,1167,5,556,0,2012-10-15 12:08:53
21,1951-10-28,531,48,556,0,2012-10-15 12:08:53
21,1951-10-28,602,1,556,0,2012-10-15 12:08:53
21,1951-10-28,26,51,556,0,2012-10-15 12:08:53
21,1951-10-28,458,5,556,0,2012-10-15 12:08:53
21,1951-10-28,886,4,556,0,2012-10-15 12:08:53
21,1951-10-28,35,49,556,0,2012-10-15 12:08:53
21,1951-10-28,750,23,556,0,2012-10-15 12:08:53
21,1951-10-28,1264,10,556,0,2012-10-15 12:08:53
24,1995-03-19,94,44,206,0,2012-10-15 12:08:53
24,1995-03-19,1427,22,206,0,2012-10-15 12:08:53
24,1995-03-19,1463,7,206,0,2012-10-15 12:08:53
24,1995-03-19,66,1,206,0,2012-10-15 12:08:53
24,1995-03-19,1062,9,206,0,2012-10-15 12:08:53
24,1995-03-19,200,1,206,0,2012-10-15 12:08:53
24,1995-03-19,585,11,206,0,2012-10-15 12:08:53
24,1995-03-19,1009,2,206,0,2012-10-15 12:08:53
24,1995-03-19,1105,1,206,0,2012-10-15 12:08:53
24,1995-03-19,395,63,206,0,2012-10-15 12:08:53
24,1995-03-19,1118,39,206,0,2012-10-15 12:08:53
25,1990-02-18,1540,16,106,0,2012-10-15 12:08:53
25,1990-02-18,940,136,106,0,2012-10-15 12:08:53
25,1990-02-18,905,21,106,0,2012-10-15 12:08:53
25,1990-02-18,837,45,106,0,2012-10-15 12:08:53
25,1990-02-18,86,4,106,0,2012-10-15 12:08:53
25,1990-02-18,747,1,106,0,2012-10-15 12:08:53
25,1990-02-18,1193,275,106,0,2012-10-15 12:08:53
25,1990-02-18,1053,14,106,0,2012-10-15 12:08:53
27,1998-06-20,1245,20,76,0,2012-10-15 12:08:53
27,1998-06-20,789,74,76,0,2012-10-15 12:08:53
27,1998-06-20,688,19,76,0,2012-10-15 12:08:53
27,1998-06-20,1173,24,76,0,2012-10-15 12:08:53
27,1998-06-20,829,63,76,0,2012-10-15 12:08:53
30,1955-10-30,602,1,814,0,2012-10-15 12:08:53
30,1955-10-30,1264,10,814,0,2012-10-15 12:08:53
30,1955-10-30,531,47,814,0,2012-10-15 12:08:53
30,1955-10-30,886,4,814,0,2012-10-15 12:08:53
30,1955-10-30,26,50,814,0,2012-10-15 12:08:53
30,1955-10-30,35,53,814,0,2012-10-15 12:08:53
30,1955-10-30,1167,4,814,0,2012-10-15 12:08:53
30,1955-10-30,750,22,814,0,2012-10-15 12:08:53
30,1955-10-30,458,5,814,0,2012-10-15 12:08:53
32,1991-10-13,1286,24,,0,2012-10-15 12:08:53
32,1991-10-13,982,106,,0,2012-10-15 12:08:53
32,1991-10-13,423,110,,0,2012-10-15 12:08:53
33,1998-09-21,882,43,156,0,2012-10-15 12:08:53
33,1998-09-21,1461,18,156,0,2012-10-15 12:08:53
33,1998-09-21,904,131,156,0,2012-10-15 12:08:53
33,1998-09-21,282,42,156,0,2012-10-15 12:08:53
33,1998-09-21,892,17,156,0,2012-10-15 12:08:53
33,1998-09-21,1154,16,156,0,2012-10-15 12:08:53
33,1998-09-21,657,82,156,0,2012-10-15 12:08:53
35,1946-06-30,1319,10,703,1,2012-10-15 12:08:53
35,1946-06-30,228,9,703,1,2012-10-15 12:08:53
35,1946-06-30,1342,20,703,1,2012-10-15 12:08:53
35,1946-06-30,1455,13,703,1,2012-10-15 12:08:53
36,2009-04-25,1455,9,651,1,2012-10-15 12:08:53
36,2009-04-25,1342,16,651,1,2012-10-15 12:08:53
36,2009-04-25,210,14,651,1,2012-10-15 12:08:53
36,2009-04-25,1006,20,651,1,2012-10-15 12:08:53
36,2009-04-25,587,4,651,1,2012-10-15 12:08:53
39,1992-06-06,1218,16,262,0,2012-10-15 12:08:53
39,1992-06-06,19,14,262,0,2012-10-15 12:08:53
39,1992-06-06,1245,15,262,0,2012-10-15 12:08:53
39,1992-06-06,1123,14,262,0,2012-10-15 12:08:53
39,1992-06-06,1173,35,262,0,2012-10-15 12:08:53
39,1992-06-06,829,76,262,0,2012-10-15 12:08:53
39,1992-06-06,789,16,262,0,2012-10-15 12:08:53
39,1992-06-06,872,14,262,0,2012-10-15 12:08:53
40,1974-10-10,646,3,7,1,2012-10-15 12:08:53
40,1974-10-10,1210,6,7,1,2012-10-15 12:08:53
40,1974-10-10,319,1,7,1,2012-10-15 12:08:53
40,1974-10-10,1284,11,7,1,2012-10-15 12:08:53
40,1974-10-10,1556,319,7,1,2012-10-15 12:08:53
40,1974-10-10,311,3,7,1,2012-10-15 12:08:53
40,1974-10-10,659,13,7,1,2012-10-15 12:08:53
40,1974-10-10,1023,1,7,1,2012-10-15 12:08:53
40,1974-10-10,773,277,7,1,2012-10-15 12:08:53
40,1974-10-10,1599,1,7,1,2012-10-15 12:08:53
42,1977-06-15,118,19,,0,2012-10-15 12:08:53
42,1977-06-15,902,118,,0,2012-10-15 12:08:53
42,1977-06-15,135,166,,0,2012-10-15 12:08:53
42,1977-06-15,62,2,,0,2012-10-15 12:08:53
42,1977-06-15,1361,8,,0,2012-10-15 12:08:53
42,1977-06-15,1221,1,,0,2012-10-15 12:08:53
42,1977-06-15,645,16,,0,2012-10-15 12:08:53
42,1977-06-15,1377,1,,0,2012-10-15 12:08:53
42,1977-06-15,894,11,,0,2012-10-15 12:08:53
42,1977-06-15,1026,1,,0,2012-10-15 12:08:53
42,1977-06-15,1790,6,,0,2012-10-15 12:08:53
42,1977-06-15,757,1,,0,2012-10-15 12:08:53
43,1987-02-17,379,1,867,0,2012-10-15 12:08:53
43,1987-02-17,1393,51,867,0,2012-10-15 12:08:53
