"","elect.uid","country","year","election_date","n.parties","p.crash.tm1","p.crash.tp1","s.crash.tm1","s.crash.tp1","c.location.mean.tm1","c.location.max.tm1","c.location.min.tm1","c.location.mean.tp1","c.location.max.tp1","c.location.min.tp1","share.v.crash.tm1","share.v.crash.tp1","np.vote","NP.d","S.NP.d","NP.n","S.NP.n","np.location.min","np.location.max","np.location.mean","uid"
"1",1,"Australia","1901","1901-03-30",4,0,1,0,0,0,0,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,1.11666663320441,1.11666663320441,1.11666663320441,"Australia1901"
"2",2,"Australia","1903","1903-12-16",4,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,"Australia1903"
"3",3,"Australia","1906","1906-12-02",5,0,1,0,0,0,0,0,0,0,0,0,61.7,7.1,1,1,2,2,0,0,0,"Australia1906"
"4",4,"Australia","1910","1910-04-13",2,0,0,0,0,0,0,0,0,0,0,0,0,45.1,1,1,1,1,2.39025342246012,2.39025342246012,2.39025342246012,"Australia1910"
"5",5,"Australia","1913","1913-05-31",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Australia1913"
"6",6,"Australia","1914","1914-09-05",2,0,1,0,0,0,0,0,2.39025342246012,2.39025342246012,2.39025342246012,0,47.2,0,0,0,0,0,0,0,0,"Australia1914"
"7",7,"Australia","1917","1917-05-05",2,0,0,0,0,0,0,0,0,0,0,0,0,54.2,1,1,1,1,0,0,0,"Australia1917"
"8",8,"Australia","1919","1919-12-13",7,0,1,0,0,0,0,0,0,0,0,0,9.3,10.2,1,1,5,5,2.8222222333763,2.8222222333763,2.8222222333763,"Australia1919"
"9",9,"Australia","1922","1922-12-16",4,0,1,0,0,0,0,0,2.39025342246012,2.39025342246012,2.39025342246012,0,4.7,0,0,0,0,0,0,0,0,"Australia1922"
"10",10,"Australia","1925","1925-11-14",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Australia1925"
"11",11,"Australia","1928","1928-11-17",4,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1,1,1,1,0,0,0,"Australia1928"
"12",12,"Australia","1929","1929-10-12",5,0,1,0,0,0,0,0,0,0,0,0,38.8,0,0,0,0,0,0,0,0,"Australia1929"
"13",13,"Australia","1931","1931-12-19",5,0,1,0,0,0,0,0,0,0,0,0,5.5,52.5,1,1,3,3,0,0,0,"Australia1931"
"14",14,"Australia","1934","1934-09-15",9,0,1,0,0.0780141843971631,0,0,0,0,0,0,0,27.6,13.2,1,1,5,3,0,0,0,"Australia1934"
