country_name_short,country_name,election_date,start_date,cabinet_name,caretaker,cabinet_party,prime_minister,seats,election_seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,cabinet_id,previous_cabinet_id,party_id
AUS,Australia,1901-03-30,1903-09-24,Deakin I,0,0,0,15,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,731,997,996,1253
AUS,Australia,1901-03-30,1903-09-24,Deakin I,0,0,0,26,75,FTP,Free Trade Party,Free Trade Party,,33,731,997,996,1938
AUS,Australia,1901-03-30,1903-09-24,Deakin I,0,0,0,1,75,ILP-QLD,Independet Labor Party (Qld),Independet Labor Party (Qld),,33,731,997,996,1899
AUS,Australia,1901-03-30,1903-09-24,Deakin I,0,1,1,32,75,PP,Protectionist Party,Protectionist Party,,33,731,997,996,1898
AUS,Australia,1901-03-30,1903-09-24,Deakin I,0,0,0,1,75,none,no party affiliation,no party affiliation,,33,731,997,996,1396
AUS,Australia,1903-12-16,1904-04-27,Watson,0,1,1,23,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,730,998,997,1253
AUS,Australia,1903-12-16,1904-04-27,Watson,0,0,0,25,75,FTP,Free Trade Party,Free Trade Party,,33,730,998,997,1938
AUS,Australia,1903-12-16,1904-04-27,Watson,0,0,0,26,75,PP,Protectionist Party,Protectionist Party,,33,730,998,997,1898
AUS,Australia,1903-12-16,1904-04-27,Watson,0,0,0,1,75,RTP-T,Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),,33,730,998,997,1921
AUS,Australia,1903-12-16,1904-08-18,Reid,0,0,0,23,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,730,999,998,1253
AUS,Australia,1903-12-16,1904-08-18,Reid,0,1,1,25,75,FTP,Free Trade Party,Free Trade Party,,33,730,999,998,1938
AUS,Australia,1903-12-16,1904-08-18,Reid,0,1,0,26,75,PP,Protectionist Party,Protectionist Party,,33,730,999,998,1898
AUS,Australia,1903-12-16,1904-08-18,Reid,0,0,0,1,75,RTP-T,Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),,33,730,999,998,1921
AUS,Australia,1903-12-16,1905-07-05,Deakin II,0,0,0,23,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,730,1000,999,1253
AUS,Australia,1903-12-16,1905-07-05,Deakin II,0,0,0,25,75,FTP,Free Trade Party,Free Trade Party,,33,730,1000,999,1938
AUS,Australia,1903-12-16,1905-07-05,Deakin II,0,1,1,26,75,PP,Protectionist Party,Protectionist Party,,33,730,1000,999,1898
AUS,Australia,1903-12-16,1905-07-05,Deakin II,0,0,0,1,75,RTP-T,Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),,33,730,1000,999,1921
AUS,Australia,1906-12-02,1908-11-13,Fisher I,0,1,1,26,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,725,1001,1000,1253
AUS,Australia,1906-12-02,1908-11-13,Fisher I,0,0,0,27,75,FTP,Free Trade Party,Free Trade Party,,33,725,1001,1000,1938
AUS,Australia,1906-12-02,1908-11-13,Fisher I,0,0,0,4,75,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),,33,725,1001,1000,1917
AUS,Australia,1906-12-02,1908-11-13,Fisher I,0,0,0,16,75,PP,Protectionist Party,Protectionist Party,,33,725,1001,1000,1898
AUS,Australia,1906-12-02,1908-11-13,Fisher I,0,0,0,2,75,WAP,Western Australian Party,Western Australian Party,,33,725,1001,1000,1906
AUS,Australia,1906-12-02,1909-06-02,Deakin III,0,0,0,26,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,725,1002,1001,1253
