country_name_short,country_name,election_type,election_date,vote_share,seats,seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,previous_parliament_election_id,previous_cabinet_id,party_id
AUS,Australia,parliament,1901-03-30,44.4,32,75,PP,Protectionist Party,Protectionist Party,,33,731,,996,1898
AUS,Australia,parliament,1901-03-30,34.2,26,75,FTP,Free Trade Party,Free Trade Party,,33,731,,996,1938
AUS,Australia,parliament,1901-03-30,19.4,15,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,731,,996,1253
AUS,Australia,parliament,1901-03-30,1.4,1,75,none,no party affiliation,no party affiliation,,33,731,,996,1396
AUS,Australia,parliament,1901-03-30,0.6,1,75,ILP-QLD,Independet Labor Party (Qld),Independet Labor Party (Qld),,33,731,,996,1899
AUS,Australia,parliament,1903-12-16,29.7,26,75,PP,Protectionist Party,Protectionist Party,,33,730,731,997,1898
AUS,Australia,parliament,1903-12-16,34.4,25,75,FTP,Free Trade Party,Free Trade Party,,33,730,731,997,1938
AUS,Australia,parliament,1903-12-16,31.0,23,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,730,731,997,1253
AUS,Australia,parliament,1903-12-16,0.5,1,75,RTP-T,Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),,33,730,731,997,1921
AUS,Australia,parliament,1903-12-16,4.5,0,75,none,no party affiliation,no party affiliation,,33,730,731,997,1396
AUS,Australia,parliament,1906-12-02,38.2,27,75,FTP,Free Trade Party,Free Trade Party,,33,725,730,1000,1938
AUS,Australia,parliament,1906-12-02,36.6,26,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,725,730,1000,1253
AUS,Australia,parliament,1906-12-02,16.4,16,75,PP,Protectionist Party,Protectionist Party,,33,725,730,1000,1898
AUS,Australia,parliament,1906-12-02,4.8,4,75,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),,33,725,730,1000,1917
AUS,Australia,parliament,1906-12-02,2.3,2,75,WAP,Western Australian Party,Western Australian Party,,33,725,730,1000,1906
AUS,Australia,parliament,1906-12-02,1.2,0,75,none,no party affiliation,no party affiliation,,33,725,730,1000,1396
AUS,Australia,parliament,1910-04-13,50.0,43,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,747,725,1002,1253
AUS,Australia,parliament,1910-04-13,45.1,31,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,747,725,1002,1411
AUS,Australia,parliament,1910-04-13,4.5,1,75,none,no party affiliation,no party affiliation,,33,747,725,1002,1396
AUS,Australia,parliament,1910-04-13,0.4,0,75,no-seat,no seats,no seats,,33,747,725,1002,2057
AUS,Australia,parliament,1913-05-31,48.9,38,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,748,747,1003,1411
AUS,Australia,parliament,1913-05-31,48.5,37,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,748,747,1003,1253
AUS,Australia,parliament,1913-05-31,2.6,0,75,none,no party affiliation,no party affiliation,,33,748,747,1003,1396
AUS,Australia,parliament,1914-09-05,50.9,42,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,724,748,1004,1253
AUS,Australia,parliament,1914-09-05,47.2,32,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,724,748,1004,1411
AUS,Australia,parliament,1914-09-05,1.9,1,75,none,no party affiliation,no party affiliation,,33,724,748,1004,1396
AUS,Australia,parliament,1917-05-05,54.2,53,75,NAT,Nationalist Party of Australia,Nationalist Party of Australia,,33,750,724,1008,1905
AUS,Australia,parliament,1917-05-05,43.9,22,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,750,724,1008,1253
AUS,Australia,parliament,1917-05-05,1.8,0,75,none,no party affiliation,no party affiliation,,33,750,724,1008,1396
AUS,Australia,parliament,1919-12-13,45.1,37,75,NAT,Nationalist Party of Australia,Nationalist Party of Australia,,33,723,750,1010,1905
AUS,Australia,parliament,1919-12-13,42.5,26,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,723,750,1010,1253
AUS,Australia,parliament,1919-12-13,4.2,5,75,VFU-V,Victorian Farmers' Union,Victorian Farmers' Union,,33,723,750,1010,1929
AUS,Australia,parliament,1919-12-13,2.4,3,75,NF-NSW,Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),,33,723,750,1010,1918
AUS,Australia,parliament,1919-12-13,0.9,2,75,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,723,750,1010,184
AUS,Australia,parliament,1919-12-13,1.0,1,75,FS-NSW,Farmers and Settlers (NSW),Farmers and Settlers (NSW),,33,723,750,1010,1913
AUS,Australia,parliament,1919-12-13,1.7,1,75,INAT,Independet Nationalist,Independet Nationalist,,33,723,750,1010,1903
AUS,Australia,parliament,1919-12-13,1.5,0,75,none,no party affiliation,no party affiliation,,33,723,750,1010,1396
AUS,Australia,parliament,1922-12-16,42.3,30,76,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,726,723,1011,1253
AUS,Australia,parliament,1922-12-16,35.2,26,76,NAT,Nationalist Party of Australia,Nationalist Party of Australia,,33,726,723,1011,1905
AUS,Australia,parliament,1922-12-16,12.6,14,76,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,726,723,1011,184
AUS,Australia,parliament,1922-12-16,4.7,5,76,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,726,723,1011,1411
AUS,Australia,parliament,1922-12-16,4.6,1,76,etc,others,others,,33,726,723,1011,1084
AUS,Australia,parliament,1922-12-16,0.7,0,76,no-seat,no seats,no seats,,33,726,723,1011,2057
AUS,Australia,parliament,1925-11-14,42.5,37,76,NAT,Nationalist Party of Australia,Nationalist Party of Australia,,33,727,726,1012,1905
AUS,Australia,parliament,1925-11-14,45.0,24,76,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,727,726,1012,1253
AUS,Australia,parliament,1925-11-14,10.7,14,76,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,727,726,1012,184
AUS,Australia,parliament,1925-11-14,1.7,1,76,none,no party affiliation,no party affiliation,,33,727,726,1012,1396
AUS,Australia,parliament,1928-11-17,44.7,32,76,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,728,727,1013,1253
AUS,Australia,parliament,1928-11-17,39.1,29,76,NAT,Nationalist Party of Australia,Nationalist Party of Australia,,33,728,727,1013,1905
AUS,Australia,parliament,1928-11-17,10.5,13,76,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,728,727,1013,184
AUS,Australia,parliament,1928-11-17,1.6,1,76,CPP-V,Country Progressive Party (Vic),Country Progressive Party (Vic),,33,728,727,1013,1914
AUS,Australia,parliament,1928-11-17,4.2,1,76,none,no party affiliation,no party affiliation,,33,728,727,1013,1396
AUS,Australia,parliament,1929-10-12,48.8,47,76,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,729,728,1014,1253
AUS,Australia,parliament,1929-10-12,33.9,14,76,NAT,Nationalist Party of Australia,Nationalist Party of Australia,,33,729,728,1014,1905
AUS,Australia,parliament,1929-10-12,10.3,10,76,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,729,728,1014,184
AUS,Australia,parliament,1929-10-12,3.9,3,76,INAT,Independet Nationalist,Independet Nationalist,,33,729,728,1014,1903
AUS,Australia,parliament,1929-10-12,2.1,1,76,none,no party affiliation,no party affiliation,,33,729,728,1014,1396
AUS,Australia,parliament,1929-10-12,1.0,1,76,CPP-V,Country Progressive Party (Vic),Country Progressive Party (Vic),,33,729,728,1014,1914
