country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
AUS,Australia,ACP-V,Australian Country Party (Vic),Australian Country Party (Vic),Australian Country Party (Vic),con,Conservative,,,,,,,,,,,,,33,1935,26
AUS,Australia,AD,Australian Democrats,Australian Democrats,Australian Democrats,soc,Social democracy,3.7003898970100146,3.3684211028249633,1.1578947619387998,,63321,,,102,203,,4703,,33,120,11
AUS,Australia,AG,Australian Greens,Australian Greens,Australian Greens,eco,Green/Ecologist,1.5438596825850635,1.2982456307662158,0.5614034753096736,,,,,,,,4739,,33,751,19
AUS,Australia,ALP,Australian Labor Party,Australian Labor Party,Australian Labor Party,soc,Social democracy,3.88333336679559,4.035087886609532,3.263157794350074,,63320,,,101,,,4721,,33,1253,11
AUS,Australia,AP,Australia Party,Australia Party,Australia Party,lib,Liberal,,,,,,,,,,,,,33,1760,6
AUS,Australia,C,Coalition,Coalition,Coalition,all,electoral alliance,,,,,,,,,,,,,33,1428,27
AUS,Australia,CDP,Christian Democratic Party,Christian Democratic Party,Christian Democratic Party,chr,Christian democracy,,,,,,,,,,,,,33,1650,3
AUS,Australia,CLP,Country Liberal Party,Country Liberal Party,Country Liberal Party,reg,Regional,,,,,,,,,,,,,33,215,9
AUS,Australia,CN-QLD,Country-National Party (Qld),Country-National Party (Qld),Country-National Party (Qld),all,electoral alliance,,,,,,,,,,,,,33,1933,27
AUS,Australia,COM,Communist,Communist,Communist,com,Communist/Socialist,,,,,,,,,,,,,33,1922,14
AUS,Australia,CPP-V,Country Progressive Party (Vic),Country Progressive Party (Vic),Country Progressive Party (Vic),con,Conservative,,,,,,,,,,,,,33,1914,26
AUS,Australia,DLP,Democratic Labour Party,Democratic Labour Party,Democratic Labour Party,soc,Social democracy,4.166666666666667,,,,63330,,,,204,,,,33,1306,11
AUS,Australia,EC-SA,Emergency Committee (SA),Emergency Committee (SA),Emergency Committee (SA),code,to be coded,,,,,,,,,,,,,33,1904,28
AUS,Australia,FC-V,Federal Country,Federal Country,Federal Country,,,,,,,,,,,,,,,33,1924,
AUS,Australia,FFP,Family First Party,Family First Party,Family First Party,con,Conservative,,,,,,,,,,,,,33,446,26
AUS,Australia,FS-NSW,Farmers and Settlers (NSW),Farmers and Settlers (NSW),Farmers and Settlers (NSW),agr,Agrarian,,,,,,,,,,,,,33,1913,2
AUS,Australia,FTP,Free Trade Party,Free Trade Party,Free Trade Party,lib,Liberal,,,,,,,,,,,,,33,1938,6
AUS,Australia,ILP-QLD,Independet Labor Party (Qld),Independet Labor Party (Qld),Independet Labor Party (Qld),soc,Social democracy,,,,,,,,,,,,,33,1899,11
AUS,Australia,INAT,Independet Nationalist,Independet Nationalist,Independet Nationalist,code,to be coded,,,,,,,,,,,,,33,1903,28
AUS,Australia,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),code,to be coded,,,,,,,,,,,,,33,1917,28
AUS,Australia,IUAP-NSW,Independent UAP (NSW),Independent UAP (NSW),Independent UAP (NSW),none,no family,,,,,,,,,,,,,33,1941,12
AUS,Australia,LCL,Liberal and Country League,Liberal and Country League,Liberal and Country League,soc,Social democracy,,,,,,,,,,,,,33,1919,11
AUS,Australia,LCP-V,Liberal Country Party (Vic),Liberal Country Party (Vic),Liberal Country Party (Vic),agr,Agrarian,,,,,,,,,,,,,33,1939,2
AUS,Australia,LD-NSW,Liberal Democratic Party (New South Wales),Liberal Democratic Party (New South Wales),Liberal Democratic Party (New South Wales),lib,Liberal,,,,,,,,,,,,,33,1927,6
AUS,Australia,LLP,Lang Labour Party,Lang Labour Party,Lang Labour Party,soc,Social democracy,,,,,,,,,,,,,33,303,11
AUS,Australia,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,Liberal National Party of Queensland,lib,Liberal,,,,,,,,,,,,,33,154,6
AUS,Australia,LPA,Liberal Party of Australia,Liberal Party of Australia,Liberal Party of Australia,con,Conservative,7.390253422460124,8.421052631578947,6.982456006501842,,63620,,,103,205,,4757,,33,1411,26
AUS,Australia,NAT,Nationalist Party of Australia,Nationalist Party of Australia,Nationalist Party of Australia,right,Right-wing,,,,,,,,,,,,,33,1905,40
AUS,Australia,NAT-WA,Nationalist,Nationalist,Nationalist,con,Conservative,,,,,,,,,,,,,33,1925,26
AUS,Australia,NCL-NSW,Australian Labor Party (Non-Communist),Australian Labor Party (Non-Communist),Australian Labor Party (Non-Communist),soc,Social democracy,,,,,,,,,,,,,33,1940,11
AUS,Australia,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,con,Conservative,7.822222233376304,6.24561410201221,8.45614081934879,,63810,,,104,206,,4775,,33,184,26
AUS,Australia,NF-NSW,Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),code,to be coded,,,,,,,,,,,,,33,1918,28
AUS,Australia,NL,National Labor,National Labor,National Labor,soc,Social democracy,,,,,,,,,,,,,33,2003,11
AUS,Australia,ONP,One Nation Party,One Nation Party,One Nation Party,right,Right-wing,8.157894736842104,5.3007517362895795,7.964912213777263,,,,,,,,4793,,33,386,40
AUS,Australia,OPA,One Parliament for Australia,One Parliament for Australia,One Parliament for Australia,code,to be coded,,,,,,,,,,,,,33,1936,28
AUS,Australia,PP,Protectionist Party,Protectionist Party,Protectionist Party,con,Conservative,,,,,,,,,,,,,33,1898,26
AUS,Australia,QC,Queensland Country Party,Queensland Country Party,Queensland Country Party,con,Conservative,,,,,,,,,,,,,33,1928,26
AUS,Australia,RTP-T,Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),code,to be coded,,,,,,,,,,,,,33,1921,28
AUS,Australia,SC-V,State Country,State Country,State Country,,,,,,,,,,,,,,,33,1920,
AUS,Australia,SCP,Social Credit Party,Social Credit Party,Social Credit Party,spec,Special issue,,,,,,,,,,,,,33,1911,16
AUS,Australia,SL-NSW,State Labor Party (NSW),State Labor Party (NSW),State Labor Party (NSW),com,Communist/Socialist,,,,,,,,,,,,,33,1908,14
AUS,Australia,SPA,Services Party of Australia,Services Party of Australia,Services Party of Australia,code,to be coded,,,,,,,,,,,,,33,1897,28
AUS,Australia,UAP,United Australia Party,United Australia Party,United Australia Party,con,Conservative,,,,,,,,,,,,,33,1912,26
