"","iso2c","country","year","gdp.pc.wdi","cpi.wdi","unempl.wdi","population.wdi","gdp.pc.ppp.wdi"
"1","AT","Austria",1960,935.460426850415,NA,NA,7047539,NA
"2","AT","Austria",1961,1031.8150043291,3.54225636863848,NA,7086299,NA
"3","AT","Austria",1962,1087.8342434189,4.38178551912397,NA,7129864,NA
"4","AT","Austria",1963,1167.00053244585,2.70876982933234,NA,7175811,NA
"5","AT","Austria",1964,1269.41258289256,3.8685705959719,NA,7223801,NA
"6","AT","Austria",1965,1374.53213986075,4.93091113147143,NA,7270889,NA
"7","AT","Austria",1966,1486.96860600566,2.20588235295138,NA,7322066,NA
"8","AT","Austria",1967,1569.66718289967,3.97499999941707,NA,7376998,NA
"9","AT","Austria",1968,1677.67352804272,2.77310250847007,NA,7415403,NA
"10","AT","Austria",1969,1825.38612552124,3.08040240203398,NA,7441055,NA
"11","AT","Austria",1970,2053.80812470636,4.37282493556874,NA,7467086,NA
"12","AT","Austria",1971,2375.24111700412,4.70426210521018,NA,7500482,NA
"13","AT","Austria",1972,2917.00717961481,6.36206299753877,NA,7544201,NA
"14","AT","Austria",1973,3881.35088453534,7.52408227034553,NA,7586115,NA
"15","AT","Austria",1974,4619.60247425541,9.52179176777702,NA,7599038,NA
"16","AT","Austria",1975,5272.88822441891,8.44525507087448,NA,7578903,NA
"17","AT","Austria",1976,5664.70739145566,7.31868915965106,NA,7565525,NA
"18","AT","Austria",1977,6794.22463059566,5.47499999941714,NA,7568430,NA
"19","AT","Austria",1978,8185.7021717148,3.57904716751523,NA,7562305,NA
"20","AT","Austria",1979,9770.16598717045,3.70709382153311,NA,7549425,NA
"21","AT","Austria",1980,10843.357341503,6.32538982057285,NA,7549433,NA
"22","AT","Austria",1981,9362.64456216525,6.80686220272206,NA,7568710,NA
"23","AT","Austria",1982,9387.67615137671,5.44041450772785,NA,7574140,NA
"24","AT","Austria",1983,9514.43429609926,3.33538083521081,NA,7561910,NA
"25","AT","Austria",1984,8969.40171617556,5.66486357971625,NA,7561434,NA
"26","AT","Austria",1985,9149.99914451456,3.18969396952589,NA,7564985,NA
"27","AT","Austria",1986,13051.5528522155,1.70092133250417,NA,7569794,NA
"28","AT","Austria",1987,16353.2747565676,1.39999999999998,NA,7574586,NA
"29","AT","Austria",1988,17536.2698233884,1.9312952005256,NA,7585317,NA
"30","AT","Austria",1989,17426.8600046559,2.56389583165372,NA,7619567,NA
"31","AT","Austria",1990,21628.7536265631,3.26232214448601,NA,7677850,19513.8729923133
"32","AT","Austria",1991,22356.921090449,3.33434835566383,3.40000009536743,7754891,20650.172752271
"33","AT","Austria",1992,24820.2285445525,4.02976278178846,3.59999990463257,7840709,21327.0610442183
"34","AT","Austria",1993,24023.5150180941,3.62580553785168,4.30000019073486,7905633,21769.2292999558
"35","AT","Austria",1994,25584.9187657315,2.95906512676805,3.5,7936118,22679.0933371709
"36","AT","Austria",1995,30252.7946924041,2.25009956192743,3.70000004768372,7948278,23733.4618225785
"37","AT","Austria",1996,29742.436971359,1.84355728659553,4.09999990463257,7959017,24598.0176604877
"38","AT","Austria",1997,26646.8867693574,1.30832133193015,4.19999980926514,7968041,25551.726352363
"39","AT","Austria",1998,27289.632102852,0.921274845497891,4.19999980926514,7976789,26741.8929744099
"40","AT","Austria",1999,27116.6720799312,0.562409389869472,3.70000004768372,7992324,27752.7136561702
"41","AT","Austria",2000,24517.2651460415,2.39518551185591,3.5,8011566,29574.163781248
"42","AT","Austria",2001,24489.7377566869,2.66344072205173,3.59999990463257,8042293,29849.3770416161
"43","AT","Austria",2002,26351.3814991077,1.80210199853855,4,8081957,31261.5585362866
"44","AT","Austria",2003,32102.9263831301,1.35554112494978,4.30000019073486,8121423,32199.2697964828
"45","AT","Austria",2004,36693.3995817902,2.06122815101209,4.90000009536743,8171966,33809.7479595122
"46","AT","Austria",2005,38242.0500749095,2.30476587870183,5.19999980926514,8227829,34691.2158172061
"47","AT","Austria",2006,40430.993614499,1.44961845101615,4.69999980926514,8268641,37649.5289771786
"48","AT","Austria",2007,46586.6486029444,2.16859905342352,4.40000009536743,8295487,39238.3018081273
"49","AT","Austria",2008,51386.3784114246,3.21592066034736,3.79999995231628,8321496,41151.5864527839
"50","AT","Austria",2009,47654.1938696155,0.506312508899569,4.80000019073486,8343323,40633.3898946293
"51","AT","Austria",2010,46593.3892166807,1.81353503144189,4.40000009536743,8363404,41804.2301651514
"52","AT","Austria",2011,51130.9690458124,3.26693891157701,4.09999990463257,8391643,44028.7740444403
"53","AT","Austria",2012,48348.2259628237,2.48567508675541,4.30000019073486,8429991,44872.635165481
"54","AU","Australia",1960,1807.45876560568,NA,NA,10276477,NA
"55","AU","Australia",1961,1874.62527125417,2.51213245820018,NA,10483000,NA
"56","AU","Australia",1962,1851.32055757767,-0.278473962407602,NA,10742000,NA
"57","AU","Australia",1963,1963.53680046189,0.530578050825284,NA,10950000,NA
"58","AU","Australia",1964,2127.56690159395,2.36111111111768,NA,11167000,NA
"59","AU","Australia",1965,2276.96833109088,3.96200814112345,NA,11388000,NA
"60","AU","Australia",1966,2339.28519092229,2.97572435370125,NA,11651000,NA
"61","AU","Australia",1967,2575.0505648752,3.19391634982607,NA,11799000,NA
"62","AU","Australia",1968,2718.59046693813,2.65291083273233,NA,12009000,NA
"63","AU","Australia",1969,2985.57959848279,2.91935869826708,NA,12263000,NA
"64","AU","Australia",1970,3298.32093221435,3.90606835621463,NA,12507000,NA
"65","AU","Australia",1971,3488.22090890723,6.06399642003099,NA,12937000,NA
"66","AU","Australia",1972,3941.48257477806,5.86497890296596,NA,13177000,NA
"67","AU","Australia",1973,4760.85143381892,9.4659226779787,NA,13380000,NA
"68","AU","Australia",1974,6470.15797510819,15.1101401784917,NA,13723000,NA
"69","AU","Australia",1975,6989.00048977555,15.0719595131189,NA,13893000,NA
"70","AU","Australia",1976,7470.46078354376,13.5239142383545,NA,14033000,NA
"71","AU","Australia",1977,7759.00875561532,12.3002421308107,NA,14192000,NA
"72","AU","Australia",1978,8235.00580857388,7.9236739978777,NA,14358000,NA
"73","AU","Australia",1979,9274.32273415878,9.09000099850195,NA,14514000,NA
"74","AU","Australia",1980,10187.7966672405,10.1265822784808,NA,14692000,NA
"75","AU","Australia",1981,11828.0652050747,9.69174503578903,NA,14927000,NA
"76","AU","Australia",1982,12760.8519255709,11.1455108362311,NA,15178000,NA
"77","AU","Australia",1983,11512.0918860392,10.1135633169491,NA,15369000,NA
"78","AU","Australia",1984,12431.3049608089,3.9501848608833,NA,15544000,NA
"79","AU","Australia",1985,11436.4475431564,6.73904904513951,NA,15758000,NA
"80","AU","Australia",1986,11363.97745279,9.0845317438218,NA,16018400,NA
"81","AU","Australia",1987,11627.7945298286,8.48874598070751,NA,16263900,NA
"82","AU","Australia",1988,14262.3034211614,7.23177237700054,NA,16532200,NA
"83","AU","Australia",1989,17810.6146201577,7.55942509673855,NA,16814400,NA
"84","AU","Australia",1990,18221.1049942874,7.27226005396373,NA,17065100,17357.6567413215
"85","AU","Australia",1991,18840.6404411854,3.22267991276945,9.60000038146973,17284000,17807.9577933837
"86","AU","Australia",1992,18594.6492836738,0.985915492957815,10.8000001907349,17495000,18200.8047529247
"87","AU","Australia",1993,17661.6588703519,1.81311018131103,10.8999996185303,17667000,19141.2308228701
"88","AU","Australia",1994,18083.1384996224,1.89497716894982,9.69999980926514,17855000,20066.216532507
"89","AU","Australia",1995,20364.249696919,4.63813578310544,8.5,18072000,20966.3071384641
"90","AU","Australia",1996,21921.7798964759,2.61241970021418,8.5,18311000,22020.4206883911
