"Country","ISO","Election type","Year","Voter Turnout (%)","VAP Turnout (%)","Compulsory voting",
"Australia",AU,"Parliamentary",2013,93.23,80.51,"Yes",
"Australia",AU,"Parliamentary",2010,93.22,81.02,"Yes",
"Australia",AU,"Parliamentary",2007,94.76,82.38,"Yes",
"Australia",AU,"Parliamentary",2004,94.32,82.37,"Yes",
"Australia",AU,"Parliamentary",2001,94.85,84.20,"Yes",
"Australia",AU,"Parliamentary",1998,94.99,82.24,"Yes",
"Australia",AU,"Parliamentary",1996,95.77,82.99,"Yes",
"Australia",AU,"Parliamentary",1993,95.75,83.43,"Yes",
"Australia",AU,"Parliamentary",1990,95.31,82.09,"Yes",
"Australia",AU,"Parliamentary",1987,93.84,84.14,"Yes",
"Australia",AU,"Parliamentary",1984,94.19,84.20,"Yes",
"Australia",AU,"Parliamentary",1983,94.64,81.24,"Yes",
"Australia",AU,"Parliamentary",1980,94.35,83.97,"Yes",
"Australia",AU,"Parliamentary",1977,95.08,84.48,"Yes",
"Australia",AU,"Parliamentary",1975,95.39,84.68,"Yes",
"Australia",AU,"Parliamentary",1974,95.40,84.31,"Yes",
"Australia",AU,"Parliamentary",1972,95.38,85.35,"Yes",
"Australia",AU,"Parliamentary",1969,94.97,83.89,"Yes",
"Australia",AU,"Parliamentary",1966,95.13,84.66,"Yes",
"Australia",AU,"Parliamentary",1963,95.71,85.65,"Yes",
"Australia",AU,"Parliamentary",1961,95.22,84.56,"Yes",
"Australia",AU,"Parliamentary",1958,95.44,86.05,"Yes",
"Australia",AU,"Parliamentary",1955,95,78.35,"Yes",
"Australia",AU,"Parliamentary",1954,96.05,81.93,"Yes",
"Australia",AU,"Parliamentary",1951,95.97,85.24,"Yes",
"Australia",AU,"Parliamentary",1949,95.94,91.67,"Yes",
"Australia",AU,"Parliamentary",1946,93.95,91.85,"Yes",
"Austria",AT,"Parliamentary",2013,74.91,69.31,"No",
"Austria",AT,"Parliamentary",2008,78.81,75.61,"No",
"Austria",AT,"Parliamentary",2006,78.49,73.21,"No",
"Austria",AT,"Parliamentary",2002,84.27,77.45,"No",
"Austria",AT,"Parliamentary",1999,80.42,72.64,"No",
