"","country","ISO","Election.type","year","turnout","VAP.turnout","Compulsory.voting","turnout.change","vap.t.change"
"1","Australia","AU","Parliamentary",2013,93.23,80.51,"Yes",NA,NA
"2","Australia","AU","Parliamentary",2010,93.22,81.02,"Yes",-0.0100000000000051,0.509999999999991
"3","Australia","AU","Parliamentary",2007,94.76,82.38,"Yes",1.54000000000001,1.36
"4","Australia","AU","Parliamentary",2004,94.32,82.37,"Yes",-0.440000000000012,-0.00999999999999091
"5","Australia","AU","Parliamentary",2001,94.85,84.2,"Yes",0.530000000000001,1.83
"6","Australia","AU","Parliamentary",1998,94.99,82.24,"Yes",0.140000000000001,-1.96000000000001
"7","Australia","AU","Parliamentary",1996,95.77,82.99,"Yes",0.780000000000001,0.75
"8","Australia","AU","Parliamentary",1993,95.75,83.43,"Yes",-0.019999999999996,0.440000000000012
"9","Australia","AU","Parliamentary",1990,95.31,82.09,"Yes",-0.439999999999998,-1.34
"10","Australia","AU","Parliamentary",1987,93.84,84.14,"Yes",-1.47,2.05
"11","Australia","AU","Parliamentary",1984,94.19,84.2,"Yes",0.349999999999994,0.0600000000000023
"12","Australia","AU","Parliamentary",1983,94.64,81.24,"Yes",0.450000000000003,-2.96000000000001
"13","Australia","AU","Parliamentary",1980,94.35,83.97,"Yes",-0.290000000000006,2.73
"14","Australia","AU","Parliamentary",1977,95.08,84.48,"Yes",0.730000000000004,0.510000000000005
"15","Australia","AU","Parliamentary",1975,95.39,84.68,"Yes",0.310000000000002,0.200000000000003
"16","Australia","AU","Parliamentary",1974,95.4,84.31,"Yes",0.0100000000000051,-0.370000000000005
"17","Australia","AU","Parliamentary",1972,95.38,85.35,"Yes",-0.0200000000000102,1.03999999999999
"18","Australia","AU","Parliamentary",1969,94.97,83.89,"Yes",-0.409999999999997,-1.45999999999999
"19","Australia","AU","Parliamentary",1966,95.13,84.66,"Yes",0.159999999999997,0.769999999999996
"20","Australia","AU","Parliamentary",1963,95.71,85.65,"Yes",0.579999999999998,0.990000000000009
"21","Australia","AU","Parliamentary",1961,95.22,84.56,"Yes",-0.489999999999995,-1.09
"22","Australia","AU","Parliamentary",1958,95.44,86.05,"Yes",0.219999999999999,1.48999999999999
"23","Australia","AU","Parliamentary",1955,95,78.35,"Yes",-0.439999999999998,-7.7
"24","Australia","AU","Parliamentary",1954,96.05,81.93,"Yes",1.05,3.58000000000001
"25","Australia","AU","Parliamentary",1951,95.97,85.24,"Yes",-0.0799999999999983,3.30999999999999
"26","Australia","AU","Parliamentary",1949,95.94,91.67,"Yes",-0.0300000000000011,6.43000000000001
"27","Australia","AU","Parliamentary",1946,93.95,91.85,"Yes",-1.98999999999999,0.179999999999993
"28","Austria","AT","Parliamentary",2013,74.91,69.31,"No",NA,NA
"29","Austria","AT","Parliamentary",2008,78.81,75.61,"No",3.90000000000001,6.3
"30","Austria","AT","Parliamentary",2006,78.49,73.21,"No",-0.320000000000007,-2.40000000000001
"31","Austria","AT","Parliamentary",2002,84.27,77.45,"No",5.78,4.24000000000001
