elec_id,country,date,year,aclp_code,ccode,ccode2,presidential,legislative_type,elecrule,tier1_formula,tier2_formula,tier3_formula,tier4_formula,mixed_type,multi,multi_linked,seats,tier1_avemag,tier1_districts,upperseats,uppertier,tier2_districts,tier3_districts,tier4_districts,enep,enep_others,enep1,enpp,enpp_others,enpp1,enpres,preselecrule,region1,region2,region3,regime,secondround,thirdround
L-AAB-1984-4-17,Antigua & Barbuda,4/17/1984,1984,144,58,58,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,1.92,7.2,1.94,1.12,5.9,1.13,NA,NA,8,8,7,0,NA,NA
L-AAB-1989-3-9,Antigua & Barbuda,3/9/1989,1989,144,58,58,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,1.98,0.9,1.98,1.27,0,1.27,NA,NA,8,8,7,0,NA,NA
L-AAB-1994-3-8,Antigua & Barbuda,3/8/1994,1994,144,58,58,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.07,0,2.07,1.97,0,1.97,NA,NA,8,8,7,0,NA,NA
L-AAB-1999-3-9,Antigua & Barbuda,3/9/1999,1999,144,58,58,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.09,1.4,2.1,1.8,0,1.8,NA,NA,8,8,7,0,NA,NA
L-AAB-2004-3-23,Antigua & Barbuda,3/23/2004,2004,144,58,58,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.07,2,2.07,1.8,0,1.8,NA,NA,8,8,7,0,NA,NA
L-AAB-2009-3-12,Antigua & Barbuda,3/12/2009,2009,144,58,58,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.07,0.5,2.07,2.21,0,2.21,NA,NA,8,8,7,0,NA,NA
L-ALB-1992-3-22,Albania,3/22/1992,1992,143,339,339,0,3,11,4,13,NA,NA,4,0,0,140,1,100,40,28.57,1,0,0,2.19,0.2,2.19,1.95,0,1.95,NA,NA,9,9,4,0,29-Mar-92,NA
L-ALB-1996-5-26,Albania,5/26/1996,1996,143,339,339,0,3,12,4,12,NA,NA,2,0,0,140,1,115,25,17.86,1,0,0,2.73,9.4,2.785,1.31,0,1.31,NA,NA,9,9,4,0,2-Jun-96,NA
L-ALB-1997-6-29,Albania,6/29/1997,1997,143,339,339,0,3,12,4,13,NA,NA,2,0,0,155,1,115,40,25.8,1,0,0,2.87,0,2.87,2.07,0,2.07,NA,NA,9,9,4,0,6-Jul-97,NA
L-ALB-2001-6-24,Albania,6/24/2001,2001,143,339,339,0,3,11,4,13,NA,NA,4,0,0,140,1,100,40,28.57,1,0,0,3.09,9.8,3.13,2.6,2,2.6,NA,NA,9,9,4,0,8-Jul-01,NA
L-ALB-2005-7-3,Albania,7/3/2005,2005,143,339,339,0,3,11,1,13,NA,NA,4,0,0,140,1,100,40,28.57,1,0,0,10.46,9.6,11.51,3.75,0.71,3.75,NA,NA,9,9,4,0,NA,NA
L-ALB-2009-6-28,Albania,6/28/2009,2009,143,339,339,0,2,9,25,NA,NA,NA,NA,0,0,140,11.67,12,0,0,0,0,0,3.18,9.9,3.28,2.6,0,2.6,NA,NA,9,9,4,0,NA,NA
L-AND-1993-12-12,Andorra,12/12/1993,1993,195,232,232,0,3,12,9,13,NA,NA,2,0,0,28,2,7,14,50,1,0,0,4.82,0,4.82,4.96,21.43,6.14,NA,NA,10,10,3,0,NA,NA
L-AND-1997-2-16,Andorra,2/16/1997,1997,195,232,232,0,3,12,9,13,NA,NA,2,0,0,28,2,7,14,50,1,0,0,2.6,8,2.62,2.58,0,2.58,NA,NA,10,10,3,0,NA,NA
L-AND-2001-3-4,Andorra,3/4/2001,2001,195,232,232,0,3,12,9,13,NA,NA,2,0,0,28,2,7,14,50,1,0,0,3.28,0,3.28,2.7,0,2.7,NA,NA,10,10,3,0,NA,NA
L-AND-2005-4-24,Andorra,4/24/2005,2005,195,232,232,0,3,12,9,13,NA,NA,2,0,0,28,2,7,14,50,1,0,0,2.77,0,2.77,2.28,0,2.28,NA,NA,10,10,3,0,NA,NA
L-AND-2009-4-26,Andorra,4/26/2009,2009,195,232,232,0,3,12,9,13,NA,NA,2,0,0,28,2,7,14,50,1,0,0,2.94,0,2.94,2.4,0,2.4,NA,NA,10,10,3,0,NA,NA
L-AND-2011-4-3,Andorra,4/3/2011,2011,195,232,232,0,3,12,9,13,NA,NA,2,0,0,28,2,7,14,50,1,0,0,2.32,0,2.32,1.78,0,1.78,NA,NA,10,10,3,0,NA,NA
L-ARG-1946-2-24,Argentina,2/24/1946,1946,66,160,160,0,1,7,10,NA,NA,NA,NA,0,0,158,10.53,15,0,0,0,0,0,5.19,13.8,5.75,3.69,6.3,3.74,NA,NA,7,7,7,2,NA,NA
L-ARG-1948-3-7,Argentina,3/7/1948,1948,66,160,160,0,1,7,10,NA,NA,NA,NA,0,0,158,5.27,15,0,0,0,0,0,NA,NA,NA,1.75,0,1.75,NA,NA,7,7,7,2,NA,NA
L-ARG-1951-11-11,Argentina,11/11/1951,1951,66,160,160,0,1,1,1,NA,NA,NA,NA,0,0,149,1.07,139,0,0,0,0,0,1.97,0,1.97,1.21,0,1.21,NA,NA,7,7,7,2,NA,NA
L-ARG-1954-4-25,Argentina,4/25/1954,1954,66,160,160,0,1,1,1,NA,NA,NA,NA,0,0,157,1.03,152,0,0,0,0,0,1.93,0,1.93,1.26,0,1.26,NA,NA,7,7,7,2,NA,NA
L-ARG-1958-2-23,Argentina,2/23/1958,1958,66,160,160,0,1,7,10,NA,NA,NA,NA,0,0,187,8.13,23,0,0,0,0,0,2.83,8.3,2.89,1.72,0,1.72,NA,NA,7,7,7,2,NA,NA
L-ARG-1960-3-27,Argentina,3/27/1960,1960,66,160,160,0,1,7,10,NA,NA,NA,NA,0,0,192,4.17,23,0,0,0,0,0,4.93,14.5,5.49,2.12,1,2.12,NA,NA,7,7,7,2,NA,NA
L-ARG-1962-3-18,Argentina,3/18/1962,1962,66,160,160,0,1,7,10,NA,NA,NA,NA,0,0,192,4.17,23,0,0,0,0,0,5.49,20.1,7.05,NA,NA,NA,NA,NA,7,7,7,4,NA,NA
L-ARG-1963-7-7,Argentina,7/7/1963,1963,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,192,8.35,23,0,0,0,0,0,5.57,11.1,5.98,4.87,8.9,5.06,NA,NA,7,7,7,2,NA,NA
L-ARG-1965-3-17,Argentina,3/17/1965,1965,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,192,4.17,23,0,0,0,0,0,4.87,10.6,5.16,4.62,1.6,4.62,NA,NA,7,7,7,2,NA,NA
L-ARG-1973-3-11,Argentina,3/11/1973,1973,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,243,10.13,24,0,0,0,0,0,3.19,0.2,3.19,2.9,6.2,2.94,NA,NA,7,7,7,2,NA,NA
L-ARG-1983-10-30,Argentina,10/30/1983,1983,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,254,10.58,24,0,0,0,0,0,2.63,0,2.63,2.19,0,2.19,NA,NA,7,7,7,2,NA,NA
L-ARG-1985-11-3,Argentina,11/3/1985,1985,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,254,5.29,24,0,0,0,0,0,4.24,1.9,4.24,3.36,0,3.36,NA,NA,7,7,7,2,NA,NA
L-ARG-1987-9-6,Argentina,9/6/1987,1987,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,254,5.29,23,0,0,0,0,0,3.14,0.75,3.14,2.63,0,2.63,NA,NA,7,7,7,2,NA,NA
L-ARG-1989-5-14,Argentina,5/14/1989,1989,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,254,5.29,24,0,0,0,0,0,3.35,0.66,3.35,2.71,0,2.71,NA,NA,7,7,7,2,NA,NA
L-ARG-1991-10-27,Argentina,10/27/1991,1991,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.57,1.07,3.57,2.91,4.76,2.93,NA,NA,7,7,7,2,NA,NA
L-ARG-1993-10-3,Argentina,10/3/1993,1993,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,3.37,0.53,3.37,2.7,0,2.7,NA,NA,7,7,7,2,NA,NA
L-ARG-1995-5-14,Argentina,5/14/1995,1995,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.58,1.65,3.58,2.81,0.77,2.81,NA,NA,7,7,7,2,NA,NA
L-ARG-1997-10-26,Argentina,10/26/1997,1997,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,3.65,5.83,3.65,3.33,0,3.33,NA,NA,7,7,7,2,NA,NA
L-ARG-1999-10-24,Argentina,10/24/1999,1999,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.15,8.61,3.225,2.57,0,2.57,NA,NA,7,7,7,2,NA,NA
L-ARG-2001-10-14,Argentina,10/14/2001,2001,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,4.66,10.3,4.87,2.84,0.39,2.84,NA,NA,7,7,7,2,NA,NA
L-ARG-2003-4-27,Argentina,4/27/2003,2003,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,4.61,25.8,6.62,4.09,5.06,4.12,NA,NA,7,7,7,2,NA,NA
L-ARG-2005-10-23,Argentina,10/23/2005,2005,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,6.16,21.5,8.57,5.81,2.72,5.83,NA,NA,7,7,7,2,NA,NA
L-ARG-2007-10-28,Argentina,10/28/2007,2007,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,-99,-99,-99,3.19,7.39,3.47,NA,NA,7,7,7,2,NA,NA
L-ARG-2009-6-28,Argentina,6/28/2009,2009,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,6.62,17.5,7.34,3.89,9.34,3.96,NA,NA,7,7,7,2,NA,NA
L-ARG-2011-10-23,Argentina,10/23/2011,2011,66,160,160,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.75,30,4.53,4.28,2,4.28,NA,NA,7,7,7,2,NA,NA
L-ARM-1995-7-5,Armenia,7/5/1995,1995,145,371,371,0,3,12,3,13,NA,NA,2,0,0,190,1,150,40,21.05,1,0,0,4.18,6.11,4.235,2.21,23.68,2.52,NA,NA,9,9,4,1,29-Jul-95,NA
L-ARM-1999-5-30,Armenia,5/30/1999,1999,145,371,371,0,3,12,1,13,NA,NA,2,0,0,131,1,75,56,42.74,1,0,0,4.77,0,4.77,3.97,0,3.97,NA,NA,9,9,4,1,NA,NA
