"","country","year","ccode","ccode2","legislative_type","elecrule","tier1_avemag","enep1","enpp1","uid"
"1","Antigua & Barbuda",1984,58,58,1,1,1,1.94,1.13,"Antigua & Barbuda1984"
"2","Antigua & Barbuda",1989,58,58,1,1,1,1.98,1.27,"Antigua & Barbuda1989"
"3","Antigua & Barbuda",1994,58,58,1,1,1,2.07,1.97,"Antigua & Barbuda1994"
"4","Antigua & Barbuda",1999,58,58,1,1,1,2.1,1.8,"Antigua & Barbuda1999"
"5","Antigua & Barbuda",2004,58,58,1,1,1,2.07,1.8,"Antigua & Barbuda2004"
"6","Antigua & Barbuda",2009,58,58,1,1,1,2.07,2.21,"Antigua & Barbuda2009"
"7","Albania",1992,339,339,3,11,1,2.19,1.95,"Albania1992"
"8","Albania",1996,339,339,3,12,1,2.785,1.31,"Albania1996"
"9","Albania",1997,339,339,3,12,1,2.87,2.07,"Albania1997"
"10","Albania",2001,339,339,3,11,1,3.13,2.6,"Albania2001"
"11","Albania",2005,339,339,3,11,1,11.51,3.75,"Albania2005"
"12","Albania",2009,339,339,2,9,11.67,3.28,2.6,"Albania2009"
"13","Andorra",1993,232,232,3,12,2,4.82,6.14,"Andorra1993"
"14","Andorra",1997,232,232,3,12,2,2.62,2.58,"Andorra1997"
"15","Andorra",2001,232,232,3,12,2,3.28,2.7,"Andorra2001"
"16","Andorra",2005,232,232,3,12,2,2.77,2.28,"Andorra2005"
"17","Andorra",2009,232,232,3,12,2,2.94,2.4,"Andorra2009"
"18","Andorra",2011,232,232,3,12,2,2.32,1.78,"Andorra2011"
"19","Argentina",1946,160,160,1,7,10.53,5.75,3.74,"Argentina1946"
"20","Argentina",1948,160,160,1,7,5.27,NA,1.75,"Argentina1948"
"21","Argentina",1951,160,160,1,1,1.07,1.97,1.21,"Argentina1951"
"22","Argentina",1954,160,160,1,1,1.03,1.93,1.26,"Argentina1954"
"23","Argentina",1958,160,160,1,7,8.13,2.89,1.72,"Argentina1958"
"24","Argentina",1960,160,160,1,7,4.17,5.49,2.12,"Argentina1960"
"25","Argentina",1962,160,160,1,7,4.17,7.05,NA,"Argentina1962"
"26","Argentina",1963,160,160,2,9,8.35,5.98,5.06,"Argentina1963"
"27","Argentina",1965,160,160,2,9,4.17,5.16,4.62,"Argentina1965"
"28","Argentina",1973,160,160,2,9,10.13,3.19,2.94,"Argentina1973"
"29","Argentina",1983,160,160,2,9,10.58,2.63,2.19,"Argentina1983"
"30","Argentina",1985,160,160,2,9,5.29,4.24,3.36,"Argentina1985"
"31","Argentina",1987,160,160,2,9,5.29,3.14,2.63,"Argentina1987"
"32","Argentina",1989,160,160,2,9,5.29,3.35,2.71,"Argentina1989"
"33","Argentina",1991,160,160,2,9,5.42,3.57,2.93,"Argentina1991"
"34","Argentina",1993,160,160,2,9,5.29,3.37,2.7,"Argentina1993"
"35","Argentina",1995,160,160,2,9,5.42,3.58,2.81,"Argentina1995"
"36","Argentina",1997,160,160,2,9,5.29,3.65,3.33,"Argentina1997"
"37","Argentina",1999,160,160,2,9,5.42,3.225,2.57,"Argentina1999"
"38","Argentina",2001,160,160,2,9,5.29,4.87,2.84,"Argentina2001"
"39","Argentina",2003,160,160,2,9,5.42,6.62,4.12,"Argentina2003"
"40","Argentina",2005,160,160,2,9,5.29,8.57,5.83,"Argentina2005"
"41","Argentina",2007,160,160,2,9,5.42,-99,3.47,"Argentina2007"
"42","Argentina",2009,160,160,2,9,5.29,7.34,3.96,"Argentina2009"
"43","Argentina",2011,160,160,2,9,5.42,4.53,4.28,"Argentina2011"
"44","Armenia",1995,371,371,3,12,1,4.235,2.52,"Armenia1995"
"45","Armenia",1999,371,371,3,12,1,4.77,3.97,"Armenia1999"
"46","Armenia",2003,371,371,3,12,1,9.35,28.11,"Armenia2003"
"47","Armenia",2007,371,371,3,12,1,6.26,3.52,"Armenia2007"
"48","Australia",1946,900,900,1,3,1,2.74,2.4,"Australia1946"
"49","Australia",1949,900,900,1,3,1,2.64,2.62,"Australia1949"
"50","Australia",1951,900,900,1,3,1,2.49,2.56,"Australia1951"
"51","Australia",1954,900,900,1,3,1,2.46,2.55,"Australia1954"
"52","Australia",1955,900,900,1,3,1,2.74,2.58,"Australia1955"
"53","Australia",1958,900,900,1,3,1,2.97,2.59,"Australia1958"
"54","Australia",1961,900,900,1,3,1,2.81,2.52,"Australia1961"
"55","Australia",1963,900,900,1,3,1,2.79,2.66,"Australia1963"
"56","Australia",1966,900,900,1,3,1,2.98,2.63,"Australia1966"
"57","Australia",1969,900,900,1,3,1,2.83,2.61,"Australia1969"
"58","Australia",1972,900,900,1,3,1,2.77,2.47,"Australia1972"
"59","Australia",1974,900,900,1,3,1,2.66,2.52,"Australia1974"
"60","Australia",1975,900,900,1,3,1,2.7,2.51,"Australia1975"
"61","Australia",1977,900,900,1,3,1,3.12,2.45,"Australia1977"
"62","Australia",1980,900,900,1,3,1,2.81,2.64,"Australia1980"
"63","Australia",1983,900,900,1,3,1,2.67,2.23,"Australia1983"
"64","Australia",1984,900,900,1,3,1,2.79,2.38,"Australia1984"
"65","Australia",1987,900,900,1,3,1,3.02,2.28,"Australia1987"
"66","Australia",1990,900,900,1,3,1,3.34,2.35,"Australia1990"
"67","Australia",1993,900,900,1,3,1,2.88,2.39,"Australia1993"
"68","Australia",1996,900,900,1,3,1,3.21,2.62,"Australia1996"
"69","Australia",1998,900,900,1,3,1,3.46,2.48,"Australia1998"
"70","Australia",2001,900,900,1,3,1,3.45,2.49,"Australia2001"
"71","Australia",2004,900,900,1,3,1,3.18,2.44,"Australia2004"
"72","Australia",2007,900,900,1,3,1,3.04,2.25,"Australia2007"
"73","Australia",2010,900,900,1,3,1,2.87,2.14,"Australia2010"
"74","Austria",1949,305,305,2,9,6.6,2.78,2.54,"Austria1949"
"75","Austria",1953,305,305,2,9,6.6,2.76,2.48,"Austria1953"
"76","Austria",1956,305,305,2,9,6.6,2.48,2.23,"Austria1956"
"77","Austria",1959,305,305,2,9,6.6,2.48,2.2,"Austria1959"
"78","Austria",1962,305,305,2,9,6.6,2.47,2.19,"Austria1962"
