"","country","year","np5","reg_cost","eth_frag","vote_new","party_fin","uid","vote_new.1"
"1","Australia",1949,0,0,0.850000023841858,NA,0,"Australia1949",NA
"2","Australia",1951,0,0,0.850000023841858,NA,0,"Australia1951",NA
"3","Australia",1954,0,0,0.850000023841858,NA,0,"Australia1954",NA
"4","Australia",1955,1,0,0.850000023841858,NA,0,"Australia1955",NA
"5","Australia",1958,1,0,0.850000023841858,NA,0,"Australia1958",NA
"6","Australia",1961,0,0,0.850000023841858,NA,0,"Australia1961",NA
"7","Australia",1963,0,0,0.850000023841858,NA,0,"Australia1963",NA
"8","Australia",1966,2,0,0.850000023841858,NA,0,"Australia1966",NA
"9","Australia",1969,0,0,0.850000023841858,NA,0,"Australia1969",NA
"10","Australia",1972,1,0.0500000007450581,0.850000023841858,NA,0,"Australia1972",NA
"11","Australia",1974,1,0.0399999991059303,0.850000023841858,NA,0,"Australia1974",NA
"12","Australia",1975,1,0.0299999993294477,0.850000023841858,NA,0,"Australia1975",NA
"13","Australia",1977,1,0.0199999995529652,0.850000023841858,NA,0,"Australia1977",NA
"14","Australia",1980,0,0.0199999995529652,0.850000023841858,NA,0,"Australia1980",NA
"15","Australia",1983,1,0.00999999977648258,0.850000023841858,NA,0,"Australia1983",NA
"16","Australia",1984,1,0.00999999977648258,0.850000023841858,NA,0,"Australia1984",NA
"17","Australia",1987,1,0.00999999977648258,0.850000023841858,NA,0,"Australia1987",NA
"18","Australia",1990,1,0.00999999977648258,0.850000023841858,NA,0,"Australia1990",NA
"19","Australia",1993,NA,0.00999999977648258,0.850000023841858,NA,0,"Australia1993",NA
"20","Australia",1996,0,0.00999999977648258,0.850000023841858,NA,0,"Australia1996",NA
"21","Australia",1998,0,0.00999999977648258,0.850000023841858,NA,0,"Australia1998",NA
"22","Australia",2001,0,0.00999999977648258,0.850000023841858,NA,0,"Australia2001",NA
"23","Austria",1949,1,0,0.779999971389771,NA,1,"Austria1949",NA
"24","Austria",1953,0,0,0.779999971389771,NA,1,"Austria1953",NA
"25","Austria",1956,0,0,0.779999971389771,NA,1,"Austria1956",NA
"26","Austria",1959,0,0.100000001490116,0.779999971389771,NA,1,"Austria1959",NA
"27","Austria",1962,1,0.0700000002980232,0.779999971389771,NA,1,"Austria1962",NA
"28","Austria",1966,3,0.0500000007450581,0.779999971389771,NA,1,"Austria1966",NA
"29","Austria",1970,0,0.0399999991059303,0.779999971389771,NA,1,"Austria1970",NA
"30","Austria",1971,0,0.109999999403954,0.779999971389771,NA,1,"Austria1971",NA
"31","Austria",1975,1,0.0700000002980232,0.779999971389771,NA,1,"Austria1975",NA
"32","Austria",1979,1,0.0500000007450581,0.779999971389771,NA,1,"Austria1979",NA
"33","Austria",1983,2,0.0399999991059303,0.779999971389771,NA,1,"Austria1983",NA
"34","Austria",1986,0,0.0299999993294477,0.779999971389771,NA,1,"Austria1986",NA
"35","Austria",1991,0,0.0299999993294477,0.779999971389771,NA,1,"Austria1991",NA
"36","Austria",1994,1,0.0299999993294477,0.779999971389771,NA,1,"Austria1994",NA
"37","Austria",1995,0,0.0299999993294477,0.779999971389771,NA,1,"Austria1995",NA
"38","Austria",1999,0,0.0299999993294477,0.779999971389771,NA,1,"Austria1999",NA
"39","Belgium",1949,0,0,0.439999997615814,NA,0,"Belgium1949",NA
"40","Belgium",1950,0,0,0.439999997615814,NA,0,"Belgium1950",NA
"41","Belgium",1954,1,0,0.439999997615814,NA,0,"Belgium1954",NA
"42","Belgium",1958,0,0,0.439999997615814,NA,0,"Belgium1958",NA
"43","Belgium",1961,0,0,0.439999997615814,NA,0,"Belgium1961",NA
"44","Belgium",1965,4,0,0.439999997615814,NA,0,"Belgium1965",NA
"45","Belgium",1968,0,0,0.439999997615814,NA,0,"Belgium1968",NA
"46","Belgium",1971,1,0,0.439999997615814,NA,0,"Belgium1971",NA
"47","Belgium",1974,2,0,0.439999997615814,NA,0,"Belgium1974",NA
"48","Belgium",1977,3,0,0.439999997615814,NA,0,"Belgium1977",NA
"49","Belgium",1978,1,0,0.439999997615814,NA,0,"Belgium1978",NA
"50","Belgium",1981,0,0,0.439999997615814,NA,0,"Belgium1981",NA
"51","Belgium",1985,2,0,0.439999997615814,NA,0,"Belgium1985",NA
"52","Belgium",1987,0,0,0.439999997615814,NA,0,"Belgium1987",NA
"53","Belgium",1991,2,0,0.439999997615814,NA,0,"Belgium1991",NA
"54","Belgium",1995,0,0,0.439999997615814,NA,0,"Belgium1995",NA
"55","Belgium",1999,0,0,0.439999997615814,NA,0,"Belgium1999",NA
"56","Canada",1949,0,0,0.230000004172325,NA,0,"Canada1949",NA
"57","Canada",1953,0,0,0.230000004172325,NA,0,"Canada1953",NA
"58","Canada",1957,0,0,0.230000004172325,NA,0,"Canada1957",NA
"59","Canada",1958,0,0,0.230000004172325,NA,0,"Canada1958",NA
"60","Canada",1962,0,0,0.230000004172325,NA,0,"Canada1962",NA
"61","Canada",1963,0,0,0.230000004172325,NA,0,"Canada1963",NA
"62","Canada",1965,1,0,0.230000004172325,NA,0,"Canada1965",NA
"63","Canada",1968,0,0.0599999986588955,0.230000004172325,NA,0,"Canada1968",NA
"64","Canada",1972,1,0.0399999991059303,0.230000004172325,NA,0,"Canada1972",NA
"65","Canada",1974,1,0.0299999993294477,0.230000004172325,NA,0,"Canada1974",NA
"66","Canada",1979,2,0.0199999995529652,0.230000004172325,NA,0,"Canada1979",NA
"67","Canada",1980,2,0.0199999995529652,0.230000004172325,NA,0,"Canada1980",NA
"68","Canada",1984,4,0.00999999977648258,0.230000004172325,NA,0,"Canada1984",NA
"69","Canada",1988,5,0.00999999977648258,0.230000004172325,NA,0,"Canada1988",NA
"70","Canada",1993,NA,0,0.230000004172325,NA,0,"Canada1993",NA
"71","Canada",1997,1,0,0.230000004172325,NA,0,"Canada1997",NA
"72","Canada",2000,2,0,0.230000004172325,NA,0,"Canada2000",NA
"73","Denmark",1947,0,0,0.959999978542328,NA,1,"Denmark1947",NA
"74","Denmark",1950,0,0,0.959999978542328,NA,1,"Denmark1950",NA
"75","Denmark",1953,0,0,0.959999978542328,NA,1,"Denmark1953",NA
"76","Denmark",1953,1,0,0.959999978542328,NA,1,"Denmark1953.5",NA
"77","Denmark",1957,0,0,0.959999978542328,NA,1,"Denmark1957",NA
"78","Denmark",1960,1,0,0.959999978542328,NA,1,"Denmark1960",NA
"79","Denmark",1964,0,0,0.959999978542328,NA,1,"Denmark1964",NA
"80","Denmark",1966,1,0,0.959999978542328,NA,1,"Denmark1966",NA
"81","Denmark",1968,1,0,0.959999978542328,NA,1,"Denmark1968",NA
"82","Denmark",1971,1,0,0.959999978542328,NA,1,"Denmark1971",NA
"83","Denmark",1973,2,0,0.959999978542328,NA,1,"Denmark1973",NA
"84","Denmark",1975,0,0,0.959999978542328,NA,1,"Denmark1975",NA
"85","Denmark",1977,1,0,0.959999978542328,NA,1,"Denmark1977",NA
"86","Denmark",1979,1,0,0.959999978542328,NA,1,"Denmark1979",NA
"87","Denmark",1981,1,0,0.959999978542328,NA,1,"Denmark1981",NA
"88","Denmark",1984,1,0,0.959999978542328,NA,1,"Denmark1984",NA
"89","Denmark",1987,3,0,0.959999978542328,NA,1,"Denmark1987",NA
"90","Denmark",1988,0,0,0.959999978542328,NA,1,"Denmark1988",NA
"91","Denmark",1990,0,0,0.959999978542328,NA,1,"Denmark1990",NA
"92","Denmark",1994,0,0,0.959999978542328,NA,1,"Denmark1994",NA
"93","Denmark",1998,1,0,0.959999978542328,NA,1,"Denmark1998",NA
"94","Denmark",2001,0,0,0.959999978542328,NA,1,"Denmark2001",NA
"95","Finland",1951,1,0,0.870000004768372,NA,1,"Finland1951",NA
"96","Finland",1954,0,0,0.870000004768372,NA,1,"Finland1954",NA
"97","Finland",1958,2,0,0.870000004768372,NA,1,"Finland1958",NA
"98","Finland",1962,1,0,0.870000004768372,NA,1,"Finland1962",NA
"99","Finland",1966,0,0,0.870000004768372,NA,1,"Finland1966",NA
"100","Finland",1970,0,0,0.870000004768372,NA,1,"Finland1970",NA
"101","Finland",1972,0,0,0.870000004768372,NA,1,"Finland1972",NA
"102","Finland",1975,4,0,0.870000004768372,NA,1,"Finland1975",NA
"103","Finland",1979,0,0,0.870000004768372,NA,1,"Finland1979",NA
"104","Finland",1983,2,0,0.870000004768372,NA,1,"Finland1983",NA
"105","Finland",1987,2,0,0.870000004768372,NA,1,"Finland1987",NA
"106","Finland",1991,0,0,0.870000004768372,NA,1,"Finland1991",NA
"107","Finland",1995,0,0,0.870000004768372,NA,1,"Finland1995",NA
"108","Finland",1999,0,0,0.870000004768372,NA,1,"Finland1999",NA
"109","France",1951,2,0.340000003576279,0.899999976158142,NA,0,"France1951",NA
"110","France",1956,1,0.25,0.899999976158142,NA,0,"France1956",NA
"111","France",1958,1,0.180000007152557,0.899999976158142,NA,0,"France1958",NA
"112","France",1962,1,0.129999995231628,0.899999976158142,NA,0,"France1962",NA
"113","France",1967,2,0.0900000035762787,0.899999976158142,NA,0,"France1967",NA
"114","France",1968,0,0.0799999982118607,0.899999976158142,NA,0,"France1968",NA
"115","France",1973,4,0.0500000007450581,0.899999976158142,NA,0,"France1973",NA
"116","France",1978,9,0.0199999995529652,0.899999976158142,NA,0,"France1978",NA
"117","France",1981,2,0.0199999995529652,0.899999976158142,NA,0,"France1981",NA
"118","France",1986,2,0.00999999977648258,0.899999976158142,NA,0,"France1986",NA
"119","France",1988,0,0.00999999977648258,0.899999976158142,NA,0,"France1988",NA
"120","France",1993,0,0.00999999977648258,0.899999976158142,NA,0,"France1993",NA
"121","France",1997,0,0.00999999977648258,0.899999976158142,NA,0,"France1997",NA
"122","France",2002,0,0.00999999977648258,0.899999976158142,NA,0,"France2002",NA
"123","Germany",1953,2,0,0.839999973773956,NA,1,"Germany1953",NA
"124","Germany",1957,0,0,0.839999973773956,NA,1,"Germany1957",NA
"125","Germany",1961,2,0,0.839999973773956,NA,1,"Germany1961",NA
"126","Germany",1965,1,0,0.839999973773956,NA,1,"Germany1965",NA
"127","Germany",1969,1,0,0.839999973773956,NA,1,"Germany1969",NA
"128","Germany",1972,2,0,0.839999973773956,NA,1,"Germany1972",NA
"129","Germany",1976,2,0,0.839999973773956,NA,1,"Germany1976",NA
"130","Germany",1980,4,0,0.839999973773956,NA,1,"Germany1980",NA
"131","Germany",1983,3,0,0.839999973773956,NA,1,"Germany1983",NA
"132","Germany",1987,3,0,0.839999973773956,NA,1,"Germany1987",NA
"133","Germany",1990,1,0,0.839999973773956,NA,1,"Germany1990",NA
"134","Greece",1977,5,0,0.959999978542328,NA,0,"Greece1977",NA
"135","Greece",1981,2,0.0399999991059303,0.959999978542328,NA,0,"Greece1981",NA
"136","Greece",1985,2,0.0199999995529652,0.959999978542328,NA,0,"Greece1985",NA
"137","Greece",1989,3,0.00999999977648258,0.959999978542328,NA,0,"Greece1989",NA
"138","Greece",1989,3,0.00999999977648258,0.959999978542328,NA,0,"Greece1989.5",NA
"139","Greece",1990,0,0.0199999995529652,0.959999978542328,NA,0,"Greece1990",NA
"140","Greece",1993,1,0.0199999995529652,0.959999978542328,NA,0,"Greece1993",NA
"141","Greece",1996,1,0.0199999995529652,0.959999978542328,NA,0,"Greece1996",NA
"142","Greece",2000,0,0.0199999995529652,0.959999978542328,NA,0,"Greece2000",NA
"143","Iceland",1949,0,0,0.889999985694885,NA,0,"Iceland1949",NA
"144","Iceland",1953,2,0,0.889999985694885,NA,0,"Iceland1953",NA
"145","Iceland",1956,0,0,0.889999985694885,NA,0,"Iceland1956",NA
"146","Iceland",1959,0,0,0.889999985694885,NA,0,"Iceland1959",NA
"147","Iceland",1959,0,0,0.889999985694885,NA,0,"Iceland1959.5",NA
"148","Iceland",1963,0,0,0.889999985694885,NA,0,"Iceland1963",NA
"149","Iceland",1967,2,0,0.889999985694885,NA,0,"Iceland1967",NA
"150","Iceland",1971,1,0,0.889999985694885,NA,0,"Iceland1971",NA
"151","Iceland",1974,0,0,0.889999985694885,NA,0,"Iceland1974",NA
"152","Iceland",1978,1,0,0.889999985694885,NA,0,"Iceland1978",NA
"153","Iceland",1979,0,0,0.889999985694885,NA,0,"Iceland1979",NA
"154","Iceland",1983,2,0,0.889999985694885,NA,0,"Iceland1983",NA
"155","Iceland",1987,4,0,0.889999985694885,NA,0,"Iceland1987",NA
"156","Iceland",1991,4,0,0.889999985694885,NA,0,"Iceland1991",NA
"157","Iceland",1995,1,0,0.889999985694885,NA,0,"Iceland1995",NA
"158","Iceland",1999,3,0,0.889999985694885,NA,0,"Iceland1999",NA
"159","Ireland",1951,0,0,0.949999988079071,NA,0,"Ireland1951",NA
"160","Ireland",1954,0,0,0.949999988079071,NA,0,"Ireland1954",NA
"161","Ireland",1957,0,0,0.949999988079071,NA,0,"Ireland1957",NA
"162","Ireland",1961,1,0,0.949999988079071,NA,0,"Ireland1961",NA
"163","Ireland",1965,0,0.28999999165535,0.949999988079071,NA,0,"Ireland1965",NA
"164","Ireland",1969,1,0.200000002980232,0.949999988079071,NA,0,"Ireland1969",NA
"165","Ireland",1973,2,0.109999999403954,0.949999988079071,NA,0,"Ireland1973",NA
"166","Ireland",1977,3,0.0599999986588955,0.949999988079071,NA,0,"Ireland1977",NA
"167","Ireland",1981,3,0.0299999993294477,0.949999988079071,NA,0,"Ireland1981",NA
"168","Ireland",1982,2,0.0299999993294477,0.949999988079071,NA,0,"Ireland1982",NA
"169","Ireland",1982,0,0.0299999993294477,0.949999988079071,NA,0,"Ireland1982.5",NA
"170","Ireland",1987,2,0.0199999995529652,0.949999988079071,NA,0,"Ireland1987",NA
"171","Ireland",1989,0,0.0199999995529652,0.949999988079071,NA,0,"Ireland1989",NA
"172","Ireland",1992,1,0.0199999995529652,0.949999988079071,NA,0,"Ireland1992",NA
"173","Ireland",1997,1,0.0199999995529652,0.949999988079071,NA,0,"Ireland1997",NA
"174","Ireland",2002,0,0.0199999995529652,0.949999988079071,NA,0,"Ireland2002",NA
"175","Italy",1953,0,0,0.949999988079071,NA,1,"Italy1953",NA
"176","Italy",1958,3,0,0.949999988079071,NA,1,"Italy1958",NA
"177","Italy",1963,0,0,0.949999988079071,NA,1,"Italy1963",NA
"178","Italy",1968,1,0,0.949999988079071,NA,1,"Italy1968",NA
"179","Italy",1972,2,0,0.949999988079071,NA,1,"Italy1972",NA
"180","Italy",1976,4,0,0.949999988079071,NA,1,"Italy1976",NA
"181","Italy",1979,2,0,0.949999988079071,NA,1,"Italy1979",NA
"182","Italy",1983,3,0,0.949999988079071,NA,1,"Italy1983",NA
"183","Italy",1987,5,0,0.949999988079071,NA,1,"Italy1987",NA
"184","Italy",1992,1,0,0.949999988079071,NA,1,"Italy1992",NA
"185","Italy",1994,NA,0,0.949999988079071,NA,1,"Italy1994",NA
"186","Italy",1996,1,0,0.949999988079071,NA,1,"Italy1996",NA
"187","Italy",2001,1,0,0.949999988079071,NA,1,"Italy2001",NA
"188","Luxemburg",1948,0,0,0.870000004768372,NA,0,"Luxemburg1948",NA
"189","Luxemburg",1951,0,0,0.870000004768372,NA,0,"Luxemburg1951",NA
"190","Luxemburg",1954,1,0,0.870000004768372,NA,0,"Luxemburg1954",NA
"191","Luxemburg",1959,0,0,0.870000004768372,NA,0,"Luxemburg1959",NA
"192","Luxemburg",1964,1,0,0.870000004768372,NA,0,"Luxemburg1964",NA
"193","Luxemburg",1968,0,0,0.870000004768372,NA,0,"Luxemburg1968",NA
"194","Luxemburg",1974,1,0,0.870000004768372,NA,0,"Luxemburg1974",NA
"195","Luxemburg",1979,4,0,0.870000004768372,NA,0,"Luxemburg1979",NA
"196","Luxemburg",1984,1,0,0.870000004768372,NA,0,"Luxemburg1984",NA
"197","Luxemburg",1989,3,0,0.870000004768372,NA,0,"Luxemburg1989",NA
"198","Luxemburg",1994,0,0,0.870000004768372,NA,0,"Luxemburg1994",NA
"199","Luxemburg",1999,0,0,0.870000004768372,NA,0,"Luxemburg1999",NA
"200","New Zealand",1949,0,0,0.569999992847443,NA,0,"New Zealand1949",NA
"201","New Zealand",1951,0,0,0.569999992847443,NA,0,"New Zealand1951",NA
"202","New Zealand",1954,1,0,0.569999992847443,NA,0,"New Zealand1954",NA
"203","New Zealand",1957,0,0,0.569999992847443,NA,0,"New Zealand1957",NA
"204","New Zealand",1960,0,0,0.569999992847443,NA,0,"New Zealand1960",NA
"205","New Zealand",1963,0,0,0.569999992847443,NA,0,"New Zealand1963",NA
"206","New Zealand",1966,0,0,0.569999992847443,NA,0,"New Zealand1966",NA
"207","New Zealand",1969,1,0,0.569999992847443,NA,0,"New Zealand1969",NA
"208","New Zealand",1972,3,0.0199999995529652,0.569999992847443,NA,0,"New Zealand1972",NA
"209","New Zealand",1975,0,0.00999999977648258,0.569999992847443,NA,0,"New Zealand1975",NA
"210","New Zealand",1979,0,0.00999999977648258,0.569999992847443,NA,0,"New Zealand1979",NA
"211","New Zealand",1981,1,0.00999999977648258,0.569999992847443,NA,0,"New Zealand1981",NA
"212","New Zealand",1984,1,0,0.569999992847443,NA,0,"New Zealand1984",NA
"213","New Zealand",1987,0,0,0.569999992847443,NA,0,"New Zealand1987",NA
"214","New Zealand",1990,0,0,0.569999992847443,NA,0,"New Zealand1990",NA
"215","New Zealand",1993,NA,0,0.569999992847443,NA,0,"New Zealand1993",NA
"216","New Zealand",1996,NA,0,0.569999992847443,NA,0,"New Zealand1996",NA
"217","New Zealand",1999,2,0,0.569999992847443,NA,0,"New Zealand1999",NA
"218","New Zealand",2002,2,0,0.569999992847443,NA,0,"New Zealand2002",NA
"219","Netherlands",1948,0,0,0.699999988079071,NA,1,"Netherlands1948",NA
"220","Netherlands",1952,1,0.46000000834465,0.699999988079071,NA,1,"Netherlands1952",NA
"221","Netherlands",1956,0,0.340000003576279,0.699999988079071,NA,1,"Netherlands1956",NA
"222","Netherlands",1959,2,0.300000011920929,0.699999988079071,NA,1,"Netherlands1959",NA
"223","Netherlands",1963,0,0.230000004172325,0.699999988079071,NA,1,"Netherlands1963",NA
"224","Netherlands",1967,2,0.150000005960464,0.699999988079071,NA,1,"Netherlands1967",NA
