id;elmonth;nr_ele;cntry;country;year;mixed;yearsdem;pub_fin_new;fsu;gdp_grow;dismag;dismag2;threshold;enp;turnout;turn_chan;np5;np3;vote_new;vanhanen;deposit;petition;unemp;nongov;against;president;yearsdem2;ln_yearsdem;inflation_index;inflation;Federal;Corruption_cpi;Corruption_wb;Inelastic_vote;System_polarization;polarization;System_polarization_new;Available_issues_new;Available_issues_full;Available_issues;Organizational_strength;Source notes;gap;Signatures needed;population
1;7;6;1;Albania;2005;1;15;1;0;5,759200997;11,1;1,00;2,5;2,800248623;48,73403135;-6,211115931;5;5;17,8892072;40;0;0,127334465;14,1;1;0;2;225;2,70805;2.300,05;2,36300;0,00;2,50;-0,67;58,75;;13,4040485;;;;;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;300;
2;6;7;1;Albania;2009;1;19;1;0;3,315274507;11,1;11,67;2,5;3,012311316;50,76519977;2,03116842;1;3;1,606265502;40;0;0,13239188;13,615;2;0;2;361;2,944439;2.560,83;2,22300;0,00;3,40;-0,55;;;;;;;;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;300;
3;7;1;2;Armenia;1995;1;0;;1;8,032870429;24,5;1,00;5;;53,91437004;;10;10;37,07396707;12;1;;3,037;;1;6;0;;100;176,74300;0,00;;;;1,626523992;;211,905581100;;;;;;;;
4;5;2;2;Armenia;1999;1;4;1;1;5,46999979;24,5;1,00;5;4,601195812;51,72000122;-2,19436882;10;10;25,58557442;12;1;13,64877033;9,300000191;;1;6;16;1,386294365;148,007;0,64800;0,00;;-0,74;;0,007746283;211,9055810;16,209589940;0,3214285714;0,6090909091;0,3207547170;;;;;
5;5;3;2;Armenia;2003;1;8;1;1;9,600000381;62,15000153;1,00;5;8,19008255;52,20999908;0,48999786;8;9;17,22999954;12;1;12,89214039;10,30000019;8;0;6;64;2,079441547;160,279;4,70400;0,00;;-0,65;;;16,2095900;233,653581600;0,1964285714;0,5636363636;0,1886792453;;;;;
6;10;6;3;Bosnia and Herzegovina;2006;0;16;0;0;5,958880242;42;5,60;5;8,898350716;54,93587233;-0,51881635;2;2;6;112;1;2,824858757;31,096;5;0;;256;2,772589;122,056;6,12600;1,00;2,90;-0,20;;;70,8315324;;0,2678571429;0,4545454545;0,2830188679;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;10000;
7;10;7;3;Bosnia and Herzegovina;2010;0;20;0;0;0,72058453;42;5,60;5;7,560293339;56,48526561;1,54939328;1;1;9,2;112;1;3,322259136;27,202;6;0;;400;2,995732;135,396;2,12300;1,00;3,00;-0,37;;;;;;;;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;10000;
8;10;2;4;Bulgaria;1991;0;1;0;0;-2,150000095;7,699999809;7,74;4;4,156002045;83,87000275;-6,920000076;9;9;13,18999958;27;0;0,0073638;1,700000048;7;0;3;1;;0,22;333,50000;0,00;;;;1,318600157;6,4095821;41,510131000;0,2500000000;0,5272727273;0,2641509434;;;;;
9;12;3;4;Bulgaria;1994;0;4;0;0;-6,269999981;7,699999809;7,74;4;3,833615065;75,23000336;-8,640000343;4;4;3,339999914;27;0;0,0071459;13,69999981;8;0;3;16;1,386294365;1,356;96,00000;0,00;;;;0,949702529;41,5101310;160,607452800;0,1607142857;0,4727272727;0,1320754717;;;;;
10;4;4;4;Bulgaria;1997;0;7;0;0;2,269999981;7,699999809;7,74;4;3,249373913;58,86999893;-16,36000061;2;3;6,559999943;27;0;0,0068597;15;6;0;3;49;1,945910096;56,903;1061,20600;0,00;;-0,78;;1,423112867;119,0973218;27,777089110;0,1250000000;0,3454545455;0,1132075472;;;;;
