"","country","year","yrsoffc","prtyin","legelec","mdmh","tensys","liec","eiec","thresh"
"21","Turk Cyprus",1993,18,NA,1,NA,3,7,7,2
"26","Turk Cyprus",1998,23,NA,1,NA,8,7,7,2
"31","Turk Cyprus",2003,28,NA,1,NA,13,7,7,2
"33","Turk Cyprus",2005,30,NA,1,NA,15,7,7,2
"37","Turk Cyprus",2009,4,4,1,13.3000001907349,19,7,7,0
"71","Afghanistan",2005,4,NA,1,7.32000017166138,4,1,1,NA
"76","Afghanistan",2010,9,NA,1,7.32000017166138,9,4,7,NA
"79","Angola",1975,NA,NA,NA,NA,NA,NA,NA,NA
"84","Angola",1980,1,5,1,NA,1,1,2,NA
"96","Angola",1992,13,17,1,NA,13,2,2,NA
"112","Angola",2008,29,33,1,78.9000015258789,29,3,2,0
"116","Angola",2012,33,37,1,78.9000015258789,33,6,2,0
"133","Albania",1991,6,47,1,NA,6,3,3,NA
"134","Albania",1992,7,48,1,NA,1,7,7,4
"138","Albania",1996,4,4,1,5.30000019073486,5,7,7,4
"139","Albania",1997,5,5,1,5.30000019073486,6,7,7,2
"143","Albania",2001,2,4,1,11.1000003814697,10,7,7,2
"147","Albania",2005,3,8,1,11.1000003814697,14,7,7,2
"151","Albania",2009,4,4,1,11.1000003814697,18,7,7,2
"186","UAE",2006,2,NA,1,NA,2,1,2,NA
"191","UAE",2011,7,NA,1,NA,7,2,2,NA
"201","Argentina",1983,1,NA,1,NA,1,1,2,NA
"205","Argentina",1987,4,4,1,10.6999998092651,4,7,7,3
"207","Argentina",1989,6,6,1,10.6999998092651,6,7,7,3
"209","Argentina",1991,2,2,1,10.6999998092651,8,7,7,3
"211","Argentina",1993,4,4,1,10.6999998092651,10,7,7,3
"213","Argentina",1995,6,6,1,10.6999998092651,12,7,7,3
"215","Argentina",1997,8,8,1,10.6999998092651,14,7,7,3
"217","Argentina",1999,10,10,1,10.6999998092651,16,7,7,3
"219","Argentina",2001,2,2,1,10.6999998092651,18,7,7,3
"221","Argentina",2003,1,2,1,10.6999998092651,20,7,7,3
"223","Argentina",2005,3,4,1,10.6999998092651,22,7,7,3
"225","Argentina",2007,5,6,1,10.6999998092651,24,7,7,3
"227","Argentina",2009,2,8,1,10.6999998092651,26,7,7,3
"229","Argentina",2011,4,10,1,10.6999998092651,28,7,7,3
"246","Armenia",1990,NA,NA,1,NA,NA,NA,NA,NA
"251","Armenia",1995,5,5,1,24.5,5,6.5,6,NA
"255","Armenia",1999,1,NA,1,24.5,3,7,7,5
"259","Armenia",2003,5,NA,1,62.1500015258789,7,7,7,5
"263","Armenia",2007,9,NA,1,62.1500015258789,11,7,7,5
"268","Armenia",2012,4,4,1,62.1500015258789,16,7,7,5
"271","Australia",1977,2,2,1,0.899999976158142,47,7,7,0
"274","Australia",1980,5,5,1,0.899999976158142,50,7,7,0
"277","Australia",1983,8,8,1,0.899999976158142,53,7,7,0
"278","Australia",1984,1,1,1,0.899999976158142,54,7,7,0
"281","Australia",1987,4,4,1,0.899999976158142,57,7,7,0
"284","Australia",1990,7,7,1,0.899999976158142,60,7,7,0
"287","Australia",1993,2,10,1,0.899999976158142,63,7,7,0
"290","Australia",1996,5,12,1,0.899999976158142,66,7,7,0
"292","Australia",1998,2,2,1,0.899999976158142,68,7,7,0
"295","Australia",2001,5,5,1,0.899999976158142,71,7,7,0
"298","Australia",2004,8,8,1,0.899999976158142,74,7,7,0
"301","Australia",2007,11,11,1,0.899999976158142,77,7,7,0
"304","Australia",2010,3,3,1,0.899999976158142,80,7,7,0
"307","Austria",1975,5,5,1,20.2999992370605,21,7,7,4
"311","Austria",1979,9,9,1,20.2999992370605,25,7,7,4
"315","Austria",1983,13,13,1,20.2999992370605,29,7,7,4
"318","Austria",1986,3,16,1,20.2999992370605,32,7,7,4
"322","Austria",1990,4,20,1,20.2999992370605,36,7,7,4
"326","Austria",1994,8,24,1,20.2999992370605,40,7,7,4
"327","Austria",1995,9,25,1,20.2999992370605,41,7,7,4
"331","Austria",1999,2,29,1,20.2999992370605,45,7,7,4
"334","Austria",2002,3,3,1,20.2999992370605,48,7,7,4
"338","Austria",2006,7,7,1,20.2999992370605,52,7,7,4
"340","Austria",2008,2,2,1,20.2999992370605,54,7,7,4
"344","Austria",2012,6,6,1,20.2999992370605,58,7,7,4
"345","Azerbaijan",1975,NA,NA,NA,NA,NA,NA,NA,NA
"346","Azerbaijan",1976,NA,NA,NA,NA,NA,NA,NA,NA
"347","Azerbaijan",1977,NA,NA,NA,NA,NA,NA,NA,NA
"348","Azerbaijan",1978,NA,NA,NA,NA,NA,NA,NA,NA
"349","Azerbaijan",1979,NA,NA,NA,NA,NA,NA,NA,NA
"350","Azerbaijan",1980,NA,NA,NA,NA,NA,NA,NA,NA
"351","Azerbaijan",1981,NA,NA,NA,NA,NA,NA,NA,NA
"352","Azerbaijan",1982,NA,NA,NA,NA,NA,NA,NA,NA
"353","Azerbaijan",1983,NA,NA,NA,NA,NA,NA,NA,NA
"354","Azerbaijan",1984,NA,NA,NA,NA,NA,NA,NA,NA
"355","Azerbaijan",1985,NA,NA,NA,NA,NA,NA,NA,NA
"356","Azerbaijan",1986,NA,NA,NA,NA,NA,NA,NA,NA
"357","Azerbaijan",1987,NA,NA,NA,NA,NA,NA,NA,NA
"358","Azerbaijan",1988,NA,NA,NA,NA,NA,NA,NA,NA
"359","Azerbaijan",1989,NA,NA,NA,NA,NA,NA,NA,NA
"360","Azerbaijan",1990,NA,NA,NA,NA,NA,NA,NA,NA
"361","Azerbaijan",1991,NA,NA,NA,NA,NA,NA,NA,NA
"365","Azerbaijan",1995,2,2,1,NA,2,6.5,6,NA
"375","Azerbaijan",2005,2,12,1,1,2,7,6,NA
"380","Azerbaijan",2010,7,17,1,1,7,7,6,NA
"390","Burundi",1982,6,8,1,NA,6,1,2,NA
"401","Burundi",1993,6,19,1,NA,6,4,2,NA
"413","Burundi",2005,2,NA,1,10.6000003814697,2,6,2,NA
"418","Burundi",2010,5,NA,1,5.88000011444092,5,7,3,0
"424","Belgium",1978,4,7,1,7.5,48,7,7,NA
"427","Belgium",1981,2,10,1,7.5,51,7,7,NA
"431","Belgium",1985,4,14,1,13.6300001144409,55,7,7,NA
"433","Belgium",1987,6,16,1,13.6300001144409,57,7,7,NA
"437","Belgium",1991,10,20,1,13.6300001144409,61,7,7,NA
"441","Belgium",1995,3,24,1,13.6300001144409,65,7,7,NA
"445","Belgium",1999,7,1,1,13.6300001144409,69,7,7,NA
"449","Belgium",2003,4,5,1,13.6300001144409,73,7,7,NA
"453","Belgium",2007,8,9,1,13.6300001144409,77,7,7,NA
"456","Belgium",2010,2,3,1,13.6300001144409,80,7,7,NA
"463","Benin",1979,7,4,1,NA,7,2,2,NA
"468","Benin",1984,12,9,1,NA,12,3,3,NA
"473","Benin",1989,17,14,1,NA,17,3,3,NA
"475","Benin",1991,19,16,1,13.8000001907349,19,3,3,NA
"479","Benin",1995,4,4,1,13.8000001907349,4,6.5,7,0
"483","Benin",1999,3,NA,1,3.46000003814697,4,7,7,0
"487","Benin",2003,7,NA,1,3.46000003814697,8,7,7,0
"491","Benin",2007,1,NA,1,3.46000003814697,12,7,7,0
"495","Benin",2011,5,NA,1,3.46000003814697,16,7,7,0
"500","Burkina Faso",1978,4,NA,1,NA,4,1,2,NA
"514","Burkina Faso",1992,1,1,1,NA,1,1,2,0
"519","Burkina Faso",1997,6,6,1,2.5,6,6,3,0
"524","Burkina Faso",2002,11,11,1,7.90000009536743,11,6,3,0
"529","Burkina Faso",2007,16,2,1,7.90000009536743,16,7,6,0
"534","Burkina Faso",2012,21,7,1,8.40999984741211,21,7,6,0
"539","Bangladesh",1979,4,1,1,NA,4,1,6,NA
"546","Bangladesh",1986,4,NA,1,1,4,1,2,NA
"548","Bangladesh",1988,6,NA,1,1,6,7,6,NA
"551","Bangladesh",1991,1,NA,1,1,1,7,2,NA
"556","Bangladesh",1996,5,5,1,1,5,7,7,NA
"561","Bangladesh",2001,5,5,1,1,10,7,7,NA
"568","Bangladesh",2008,NA,NA,1,1,NA,1,1,NA
"589","Bulgaria",1991,1,1,1,NA,1,7,7,NA
"599","Bulgaria",2001,4,5,1,7.69999980926514,11,7,7,4
